,Star Sparks,Momack,Estadio Mestalla,Born With Wings,High Court,Tip Of The Spear,Bend The Knee,Bazooka,Chateaux Park,Estreet
07-01-2023 15:23:57.518359,"(6.0, 7.0, 6.869172932330827)","(8.5, 11.0, 10.2)","(2.45, 2.88, 2.887142857142857)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 30.5)","(10.0, 14.0, 12.634328358208956)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 34.6)"
07-01-2023 15:23:59.014501,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.8785714285714286)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 32.0, 29.0)","(10.0, 14.0, 12.634328358208956)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 36.0, 31.571428571428573)"
07-01-2023 15:24:00.712004,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.864705882352941)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.634328358208956)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:02.248925,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.864705882352941)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.634328358208956)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:03.642472,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.864705882352941)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.634328358208956)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:04.953565,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.864705882352941)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.592307692307692)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:06.284391,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.864705882352941)","(12.0, 18.0, 16.88888888888889)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.592307692307692)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:07.630729,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.9, 2.8785714285714286)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.592307692307692)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.782608695652172)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:09.158236,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.2)","(2.45, 2.88, 2.844)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 16.545454545454547)","(21.0, 34.0, 30.5)","(10.0, 14.0, 12.591603053435115)","(9.0, 13.0, 12.583333333333334)","(16.0, 24.0, 20.833333333333332)","(21.0, 38.0, 34.6)"
07-01-2023 15:24:10.492389,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.197530864197532)","(2.45, 2.86, 2.844)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 16.545454545454547)","(21.0, 32.0, 30.5)","(10.0, 14.0, 12.591603053435115)","(9.0, 13.0, 12.583333333333334)","(16.0, 24.0, 20.833333333333332)","(21.0, 36.0, 34.6)"
