,Goldstar Gigi,Laredo Jewel,Epic Blossom,Homebush Thaw,Rosehip,Mighty Mccook,Mustang Megan,Sugar Time
12-01-2023 17:33:59.381762,"(2.3, 3.7, 3.5351612903225806)","(5.0, 14.0, 10.24)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:00.577081,"(2.3, 3.7, 3.5351612903225806)","(5.0, 14.0, 10.24)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:01.770759,"(2.3, 3.7, 3.5351612903225806)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:03.043853,"(2.3, 3.7, 3.5351612903225806)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:04.227815,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:05.439400,"(2.3, 3.7, 2.770967741935484)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:06.647377,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:07.881083,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:09.093746,"(2.3, 3.7, 3.476)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:10.396396,"(2.3, 3.7, 3.476)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.666666666666668)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:11.675616,"(2.3, 3.7, 3.476)","(5.0, 14.0, 9.5)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 23.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:12.971799,"(2.3, 3.7, 3.476)","(5.0, 14.0, 11.675)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 23.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
