,Aikhal,Keyless Go,Tango And Cash,White Hart Express,Cape Wrath,Kentucky Nick,Prickley Prince,Splendid Chap,Princess Alakhai,Sassolino,Missedthedeel,Poetic Whisper
08-12-2022 13:30:47.166479,"(8.5, 10.5, 10.15529411764706)","(41.0, 55.0, 52.46376811594203)","(4.8, 5.6, 5.543558282208589)","(71.0, 130.0, 121.70212765957447)","(101.0, 630.0, 587.1428571428571)","(5.5, 6.4, 6.066666666666666)","(51.0, 60.0, 58.205128205128204)","(3.6, 4.1, 4.081340579710145)","(101.0, 360.0, 323.1578947368421)","(4.0, 4.7, 4.67276119402985)","(101.0, 180.0, 175.15151515151516)","(18.0, 24.0, 23.853932584269664)"
08-12-2022 13:30:48.918741,"(8.5, 10.5, 10.161662817551964)","(41.0, 55.0, 52.5)","(4.8, 5.6, 5.537149028077754)","(71.0, 130.0, 121.70212765957447)","(101.0, 630.0, 560.0)","(5.5, 6.2, 5.95609756097561)","(51.0, 60.0, 58.108108108108105)","(3.6, 4.1, 4.142686567164179)","(101.0, 360.0, 325.48387096774195)","(4.0, 4.7, 4.696817625458997)","(101.0, 180.0, 175.15151515151516)","(18.0, 24.0, 23.858695652173914)"
08-12-2022 13:30:50.613559,"(8.5, 10.5, 10.157710280373832)","(41.0, 55.0, 52.65151515151515)","(4.8, 5.6, 5.538983050847458)","(71.0, 130.0, 121.33333333333333)","(101.0, 630.0, 576.6666666666666)","(5.5, 6.0, 5.879916317991632)","(51.0, 60.0, 58.38235294117647)","(3.6, 4.2, 4.08901303538175)","(101.0, 400.0, 380.90909090909093)","(4.0, 4.7, 4.873214285714286)","(101.0, 180.0, 175.15151515151516)","(18.0, 24.0, 23.387755102040817)"
08-12-2022 13:30:52.311309,"(8.5, 10.5, 10.154816513761467)","(41.0, 55.0, 52.65151515151515)","(4.8, 5.6, 5.5382422802850355)","(71.0, 130.0, 121.33333333333333)","(101.0, 630.0, 590.0)","(5.5, 5.9, 5.822368421052632)","(51.0, 60.0, 58.42857142857143)","(3.6, 4.1, 4.103022670025188)","(101.0, 390.0, 325.0)","(4.0, 4.9, 4.8638095238095245)","(101.0, 180.0, 171.8181818181818)","(18.0, 24.0, 23.523809523809526)"
08-12-2022 13:30:54.021965,"(8.5, 10.5, 10.161797752808988)","(41.0, 55.0, 52.65151515151515)","(4.8, 5.6, 5.5382422802850355)","(71.0, 130.0, 121.33333333333333)","(101.0, 630.0, 590.0)","(5.5, 5.9, 5.782868525896414)","(51.0, 60.0, 58.108108108108105)","(3.6, 4.2, 4.126380368098159)","(101.0, 360.0, 325.0)","(4.0, 4.9, 4.872767857142858)","(101.0, 180.0, 171.8181818181818)","(18.0, 24.0, 23.387755102040817)"
08-12-2022 13:30:55.739176,"(8.5, 10.5, 10.161797752808988)","(41.0, 55.0, 52.65151515151515)","(4.8, 5.6, 5.487792207792208)","(71.0, 130.0, 121.33333333333333)","(101.0, 630.0, 592.8571428571429)","(5.5, 5.8, 5.772611464968152)","(51.0, 60.0, 53.671875)","(3.6, 4.2, 4.12659793814433)","(101.0, 360.0, 325.0)","(4.0, 4.9, 4.870259481037924)","(101.0, 180.0, 171.8181818181818)","(18.0, 24.0, 23.361702127659573)"
08-12-2022 13:30:57.434446,"(8.5, 10.5, 10.162471395881006)","(41.0, 55.0, 52.65151515151515)","(4.8, 5.5, 5.488941176470588)","(71.0, 130.0, 121.33333333333333)","(101.0, 630.0, 592.8571428571429)","(5.5, 5.8, 5.744888888888889)","(51.0, 55.0, 53.671875)","(3.6, 4.2, 4.12659793814433)","(101.0, 360.0, 323.1578947368421)","(4.0, 5.0, 4.9166180758017495)","(101.0, 180.0, 171.8181818181818)","(18.0, 24.0, 23.5)"
08-12-2022 13:30:59.201096,"(8.5, 10.5, 10.162471395881006)","(41.0, 55.0, 52.65151515151515)","(4.8, 5.5, 5.491094619666049)","(71.0, 130.0, 121.33333333333333)","(101.0, 630.0, 586.6666666666666)","(5.5, 5.8, 5.744888888888889)","(51.0, 55.0, 53.81818181818182)","(3.6, 4.2, 4.12659793814433)","(101.0, 360.0, 318.6363636363636)","(4.0, 5.0, 4.9849056603773585)","(101.0, 180.0, 171.8181818181818)","(18.0, 24.0, 23.5)"
08-12-2022 13:31:00.965226,"(8.5, 10.5, 10.162471395881006)","(41.0, 55.0, 52.36486486486486)","(4.8, 5.5, 5.49217032967033)","(71.0, 130.0, 121.13636363636364)","(101.0, 630.0, 580.0)","(5.0, 5.8, 5.744888888888889)","(51.0, 55.0, 53.375)","(3.7, 4.2, 4.12659793814433)","(101.0, 360.0, 339.09090909090907)","(4.0, 5.0, 4.97212389380531)","(101.0, 180.0, 169.66666666666666)","(18.0, 24.0, 23.5)"
08-12-2022 13:31:02.717583,"(8.5, 10.5, 10.148910411622277)","(41.0, 55.0, 51.02040816326531)","(4.8, 5.5, 5.517230769230769)","(71.0, 130.0, 120.93023255813954)","(101.0, 620.0, 580.0)","(5.5, 5.8, 5.6859205776173285)","(51.0, 55.0, 53.857142857142854)","(3.6, 4.2, 4.14375)","(101.0, 350.0, 326.0)","(4.2, 5.0, 4.93016393442623)","(101.0, 170.0, 169.3548387096774)","(18.0, 24.0, 23.483333333333334)"
08-12-2022 13:31:04.458931,"(8.5, 10.5, 10.148910411622277)","(41.0, 55.0, 51.02040816326531)","(4.8, 5.6, 5.541121495327102)","(71.0, 130.0, 120.93023255813954)","(101.0, 620.0, 580.0)","(5.5, 5.7, 5.685171102661597)","(51.0, 55.0, 51.0)","(3.6, 4.2, 4.086330935251798)","(101.0, 350.0, 326.0)","(4.2, 5.0, 5.033453237410072)","(101.0, 170.0, 169.3548387096774)","(18.0, 24.0, 23.340425531914892)"
08-12-2022 13:31:06.153630,"(8.5, 10.5, 10.163573085846867)","(41.0, 55.0, 51.02040816326531)","(4.8, 5.6, 5.533198380566802)","(71.0, 130.0, 120.93023255813954)","(101.0, 620.0, 583.3333333333334)","(5.5, 5.7, 5.686013986013986)","(51.0, 55.0, 51.36363636363637)","(3.6, 4.1, 4.081455805892547)","(101.0, 350.0, 326.0)","(4.2, 5.1, 5.014567901234567)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.340425531914892)"
08-12-2022 13:31:07.868989,"(8.5, 10.5, 10.163573085846867)","(41.0, 55.0, 49.75)","(4.8, 5.6, 5.489318600368324)","(71.0, 130.0, 120.93023255813954)","(101.0, 620.0, 590.0)","(5.5, 5.7, 5.76)","(51.0, 55.0, 54.64406779661017)","(3.6, 4.1, 4.081455805892547)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.1, 5.02834890965732)","(101.0, 170.0, 169.6)","(18.0, 24.0, 23.47457627118644)"
08-12-2022 13:31:09.538453,"(8.5, 10.5, 10.163573085846867)","(41.0, 50.0, 49.726027397260275)","(4.8, 5.5, 5.490034364261168)","(71.0, 130.0, 120.71428571428571)","(101.0, 610.0, 590.0)","(5.0, 5.8, 5.76)","(51.0, 55.0, 49.575471698113205)","(3.6, 4.1, 4.1194915254237285)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.1, 5.033707865168539)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.47457627118644)"
08-12-2022 13:31:11.204668,"(8.5, 10.5, 10.163573085846867)","(41.0, 50.0, 49.726027397260275)","(4.8, 5.5, 5.473699015471167)","(71.0, 130.0, 120.71428571428571)","(101.0, 610.0, 590.0)","(5.0, 5.8, 5.813461538461539)","(51.0, 50.0, 49.51541850220264)","(3.6, 4.2, 4.119495412844037)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.1, 5.092057026476578)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.47457627118644)"
