,Disputed River,Mr Im A Believer,Winds Of March,Go Woody,Italian Award,Kokonotsu,Jenni Of Avalon,La Sarthe,Ocherous
04-01-2023 12:17:25.710332,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:27.002888,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:28.170341,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:29.284558,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:30.438611,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:31.520517,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:32.583687,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:33.682998,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:34.756747,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 27.73913043478261)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:36.093248,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 34.0, 29.75)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:37.203359,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:38.382597,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:39.465886,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:40.506643,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:41.572736,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:42.703297,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:43.803730,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:44.869111,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
