,Gee Gee True Story,Square Donut,Laylow Pluck,Wanes Quest,Lady Joker,Hot Wired,The Master Speed,Belmista,Zeva Royale
14-12-2022 19:12:04.194542,"(8.5, 20.0, 19.307692307692307)","(6.5, 11.0, 9.775)","(2.45, 2.5, 2.483125)","(8.5, 13.0, 11.285714285714286)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:05.414166,"(8.5, 20.0, 16.666666666666668)","(6.5, 11.0, 9.775)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:06.683548,"(8.5, 20.0, 16.666666666666668)","(6.5, 11.0, 9.775)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:07.973099,"(8.5, 20.0, 16.666666666666668)","(6.5, 11.0, 9.775)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:09.315621,"(8.5, 20.0, 16.666666666666668)","(6.5, 11.0, 9.775)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:10.629025,"(8.5, 20.0, 16.666666666666668)","(6.5, 11.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:11.891454,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:13.120824,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:14.331851,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:15.438947,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
