,Adara,Bashdaflash,Faneuil Hall,A Thousand Idols,Per Diem,Shannonrun,Taraashoq,Shakin It Big Time
08-01-2023 11:09:42.702833,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.845714285714285)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:43.688046,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.845714285714285)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:44.687646,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.845714285714285)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:45.682342,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.837209302325581)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:46.660254,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.837209302325581)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:47.628604,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.837209302325581)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:48.571081,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 43.0)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 95.55555555555556)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.837209302325581)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 137.30769230769232)"
08-01-2023 11:09:49.522855,"(5.5, 8.4, 8.008888888888889)","(21.0, 44.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.84)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:50.492446,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.84)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:51.449692,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.84)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:52.429674,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.85)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:53.379099,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0990196078431373)","(6.0, 7.2, 6.85)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:54.380026,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0993236714975847)","(6.0, 7.2, 6.85)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:55.352048,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0993236714975847)","(6.0, 7.2, 6.85)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:56.342073,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.85)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:57.342047,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.84)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 143.125)"
08-01-2023 11:09:58.312352,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.52173913043478)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.842105263157895)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:09:59.286751,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 96.36363636363636)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.842105263157895)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:00.228432,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 90.76923076923077)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:01.200225,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 90.76923076923077)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:02.192021,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 90.76923076923077)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:03.166363,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 90.76923076923077)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.242622950819673)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:04.140005,"(5.5, 8.4, 8.008888888888889)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 100.0, 90.76923076923077)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.16)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:05.099196,"(5.5, 8.4, 8.008333333333333)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 83.80952380952381)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.16)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:06.085860,"(5.5, 8.4, 8.008333333333333)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 83.80952380952381)","(1.85, 2.12, 2.0989573459715642)","(6.0, 7.2, 6.8533333333333335)","(4.6, 6.4, 6.16)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:07.086946,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 83.80952380952381)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.842105263157895)","(4.6, 6.4, 6.16)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:08.080544,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 83.80952380952381)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.842105263157895)","(4.6, 6.4, 6.16)","(51.0, 150.0, 142.82608695652175)"
08-01-2023 11:10:09.068846,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 82.22222222222223)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.857142857142857)","(4.6, 6.4, 6.16)","(51.0, 150.0, 126.42857142857143)"
08-01-2023 11:10:10.027242,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 82.22222222222223)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.857142857142857)","(4.6, 6.4, 6.16)","(51.0, 150.0, 126.42857142857143)"
08-01-2023 11:10:10.976662,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 82.22222222222223)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.857142857142857)","(4.6, 6.4, 6.16)","(51.0, 150.0, 126.42857142857143)"
08-01-2023 11:10:11.935299,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 82.22222222222223)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.857142857142857)","(4.6, 6.4, 6.16)","(51.0, 150.0, 126.42857142857143)"
08-01-2023 11:10:12.883613,"(5.5, 8.2, 8.05)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.444444444444443)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.100779220779221)","(6.0, 7.2, 6.845714285714285)","(4.6, 6.4, 6.16)","(51.0, 150.0, 139.0)"
08-01-2023 11:10:13.855981,"(5.5, 8.2, 8.08)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.523809523809526)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.1033009708737866)","(6.0, 7.2, 6.824242424242424)","(4.6, 6.2, 6.051724137931035)","(51.0, 150.0, 139.0)"
08-01-2023 11:10:14.817025,"(5.5, 8.2, 8.049999999999999)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.523809523809526)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.1033009708737866)","(6.0, 7.2, 6.824242424242424)","(4.6, 6.2, 6.051724137931035)","(51.0, 150.0, 138.21428571428572)"
08-01-2023 11:10:15.771599,"(5.5, 8.2, 8.049999999999999)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.523809523809526)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.1034615384615387)","(6.0, 7.2, 6.968224299065421)","(4.6, 6.2, 6.051724137931035)","(51.0, 150.0, 138.21428571428572)"
08-01-2023 11:10:16.722879,"(5.5, 8.2, 8.049999999999999)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.523809523809526)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.1036190476190475)","(6.0, 7.2, 6.928695652173913)","(4.6, 6.2, 6.051724137931035)","(51.0, 150.0, 135.0)"
08-01-2023 11:10:17.669764,"(5.5, 8.2, 8.049999999999999)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.523809523809526)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.1036190476190475)","(6.0, 7.2, 6.928695652173913)","(4.6, 6.2, 6.051724137931035)","(51.0, 150.0, 135.0)"
08-01-2023 11:10:18.606297,"(5.5, 8.2, 8.129411764705882)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.523809523809526)","(41.0, 85.0, 84.10714285714286)","(1.85, 2.12, 2.1036190476190475)","(6.0, 7.2, 6.928695652173913)","(4.6, 6.2, 6.051724137931035)","(51.0, 150.0, 143.88888888888889)"
08-01-2023 11:10:19.562691,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 43.0)","(16.0, 21.0, 19.857142857142858)","(41.0, 85.0, 75.0)","(1.85, 2.12, 2.106129032258065)","(6.0, 6.8, 6.658823529411764)","(4.6, 6.2, 6.063492063492063)","(51.0, 130.0, 128.1578947368421)"
08-01-2023 11:10:20.513362,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 43.0)","(16.0, 21.0, 19.857142857142858)","(41.0, 85.0, 75.0)","(1.85, 2.12, 2.1082191780821917)","(6.0, 6.8, 6.658823529411764)","(4.6, 6.2, 6.063492063492063)","(51.0, 130.0, 128.1578947368421)"
08-01-2023 11:10:21.525270,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 43.0)","(16.0, 21.0, 20.652173913043477)","(41.0, 85.0, 75.0)","(1.85, 2.12, 2.1082191780821917)","(6.0, 6.8, 6.658823529411764)","(4.6, 6.2, 6.063492063492063)","(51.0, 130.0, 128.1578947368421)"
08-01-2023 11:10:22.508700,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 43.0)","(16.0, 22.0, 21.47826086956522)","(41.0, 85.0, 75.0)","(1.85, 2.12, 2.1082191780821917)","(6.0, 6.8, 6.658823529411764)","(4.6, 6.2, 6.063492063492063)","(51.0, 130.0, 128.1578947368421)"
08-01-2023 11:10:23.457842,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.25)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.1082191780821917)","(6.0, 6.8, 6.658823529411764)","(4.6, 6.2, 6.063492063492063)","(51.0, 130.0, 128.1578947368421)"
08-01-2023 11:10:24.453443,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.25)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.1082191780821917)","(6.0, 6.8, 6.658823529411764)","(4.6, 6.2, 6.063492063492063)","(51.0, 130.0, 128.1578947368421)"
08-01-2023 11:10:25.430639,"(5.5, 8.2, 8.114285714285714)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.25)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.1082191780821917)","(6.0, 6.8, 6.704)","(4.6, 6.2, 6.040740740740741)","(51.0, 130.0, 128.25)"
08-01-2023 11:10:26.359451,"(6.0, 8.2, 8.153846153846153)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.111134020618557)","(6.0, 6.8, 6.704)","(4.6, 6.2, 6.040740740740741)","(51.0, 130.0, 128.25)"
08-01-2023 11:10:27.362306,"(6.0, 8.2, 8.17)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.111134020618557)","(6.0, 6.8, 6.704)","(4.6, 6.2, 6.040740740740741)","(51.0, 130.0, 128.25)"
08-01-2023 11:10:28.302580,"(6.0, 8.2, 8.17)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.111134020618557)","(6.0, 6.8, 6.673684210526315)","(4.6, 6.2, 6.040740740740741)","(51.0, 130.0, 128.25)"
08-01-2023 11:10:29.236336,"(6.0, 8.2, 8.17)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.111134020618557)","(6.0, 6.8, 6.673684210526315)","(4.6, 6.2, 6.040740740740741)","(51.0, 130.0, 128.25)"
08-01-2023 11:10:30.169249,"(6.0, 8.2, 8.17)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(6.0, 6.8, 6.6378378378378375)","(4.6, 6.2, 6.059016393442623)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:31.149427,"(6.0, 8.6, 8.2)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(6.0, 6.8, 6.6378378378378375)","(4.6, 6.2, 6.059016393442623)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:32.098882,"(6.0, 8.6, 8.2)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(6.0, 6.8, 6.6378378378378375)","(4.6, 6.2, 6.059016393442623)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:33.066244,"(5.5, 8.6, 8.2)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.4)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.635897435897435)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:34.008902,"(5.5, 8.6, 8.204)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.635897435897435)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:34.971606,"(5.5, 8.6, 8.204)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.635897435897435)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:35.940500,"(5.5, 8.6, 8.204)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.657777777777778)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:36.910125,"(5.5, 8.6, 8.233333333333333)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.657777777777778)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:37.850521,"(5.5, 8.6, 8.233333333333333)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.657777777777778)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:38.783644,"(5.5, 8.6, 8.233333333333333)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.657777777777778)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 128.05555555555554)"
08-01-2023 11:10:39.727707,"(5.5, 8.6, 8.3)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.608695652173913)","(4.6, 6.2, 6.056666666666667)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:40.700088,"(5.5, 8.6, 8.3)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.608695652173913)","(4.6, 6.2, 6.051724137931035)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:41.638132,"(5.5, 8.6, 8.222222222222221)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.608695652173913)","(4.6, 6.2, 6.051724137931035)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:42.601316,"(5.5, 8.6, 8.222222222222221)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.104186046511628)","(5.5, 6.8, 6.608695652173913)","(4.6, 6.2, 6.051724137931035)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:43.538887,"(5.5, 8.6, 8.222222222222221)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.1051724137931034)","(5.5, 6.6, 6.58)","(4.6, 6.2, 6.051724137931035)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:44.492682,"(5.5, 8.6, 8.222222222222221)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.1051724137931034)","(5.5, 6.6, 6.58)","(4.6, 6.2, 6.051724137931035)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:45.445637,"(5.5, 8.6, 8.222222222222221)","(21.0, 46.0, 43.23076923076923)","(16.0, 21.0, 20.5)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.1051724137931034)","(5.5, 6.6, 6.58)","(4.6, 6.2, 6.051724137931035)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:46.390427,"(5.5, 8.4, 8.314285714285715)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.333333333333332)","(41.0, 95.0, 93.54166666666666)","(1.85, 2.12, 2.1051724137931034)","(5.5, 6.6, 6.6647058823529415)","(4.6, 6.2, 6.058461538461539)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:47.334301,"(5.5, 8.4, 8.314285714285715)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.333333333333332)","(41.0, 95.0, 80.0)","(1.85, 2.12, 2.109512195121951)","(5.5, 6.8, 6.6647058823529415)","(4.6, 6.2, 6.058461538461539)","(51.0, 130.0, 127.3076923076923)"
08-01-2023 11:10:48.282171,"(5.5, 8.4, 8.314285714285715)","(21.0, 46.0, 42.57142857142857)","(16.0, 21.0, 20.333333333333332)","(41.0, 95.0, 90.71428571428572)","(1.85, 2.12, 2.1082191780821917)","(5.5, 6.8, 6.689473684210526)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 112.5)"
08-01-2023 11:10:49.229882,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 90.71428571428572)","(1.85, 2.12, 2.1043636363636367)","(5.5, 6.8, 6.696629213483146)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:50.159970,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1043636363636367)","(5.5, 6.8, 6.696629213483146)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:51.104106,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1043636363636367)","(5.5, 6.8, 6.71044776119403)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:52.033240,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.71044776119403)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:53.007030,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.71044776119403)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:53.958413,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.709774436090226)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:54.923295,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.709774436090226)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:55.880596,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 20.666666666666668)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.709774436090226)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:56.840747,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 21.0)","(41.0, 95.0, 93.125)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.709774436090226)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.4090909090909)"
08-01-2023 11:10:57.787928,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 21.0)","(41.0, 95.0, 93.23529411764706)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.709774436090226)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 115.0)"
08-01-2023 11:10:58.753696,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 21.0)","(41.0, 95.0, 93.23529411764706)","(1.85, 2.12, 2.1045283018867926)","(5.5, 6.8, 6.7145038167938935)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.33333333333334)"
08-01-2023 11:10:59.704218,"(5.5, 8.4, 8.345454545454546)","(21.0, 46.0, 42.57142857142857)","(16.0, 22.0, 21.0)","(41.0, 95.0, 92.5)","(1.85, 2.12, 2.1075)","(5.5, 6.8, 6.7145038167938935)","(4.6, 6.2, 6.061290322580645)","(51.0, 130.0, 128.33333333333334)"
