,Adrett,Ariana Blue,Detoron,Eternal Flame,Kaya,Khalida,New York Scandal,Real Alliance,Rubikai,Shaime,Shatusla,Your Shout Gingie
12-01-2023 18:36:26.768583,"(13.0, 21.0, 21.1)","(21.0, 44.0, 46.11764705882353)","(4.2, 5.0, 4.681632653061224)","(20.0, 24.0, 23.833333333333332)","(15.0, 25.0, 25.692307692307693)","(19.0, 32.0, 30.452830188679247)","(16.0, 24.0, 23.785714285714285)","(91.0, 210.0, 197.5)","(5.5, 8.6, 8.53448275862069)","(2.4, 2.4, 2.3838836363636364)","(31.0, 80.0, 73.4)","(31.0, 80.0, 73.33333333333333)"
12-01-2023 18:36:28.582332,"(13.0, 22.0, 20.8)","(21.0, 50.0, 46.30769230769231)","(4.2, 4.7, 4.642452830188679)","(20.0, 24.0, 23.833333333333332)","(15.0, 26.0, 25.764705882352942)","(19.0, 32.0, 30.452830188679247)","(16.0, 24.0, 23.785714285714285)","(91.0, 210.0, 197.5)","(5.5, 8.6, 8.544615384615385)","(2.4, 2.4, 2.384459930313589)","(31.0, 80.0, 73.4)","(31.0, 80.0, 73.33333333333333)"
12-01-2023 18:36:30.376897,"(13.0, 21.0, 20.5625)","(21.0, 50.0, 46.4)","(4.2, 4.7, 4.6247191011235955)","(20.0, 24.0, 23.859375)","(16.0, 26.0, 25.866666666666667)","(19.0, 32.0, 30.452830188679247)","(16.0, 24.0, 23.785714285714285)","(91.0, 210.0, 197.5)","(6.0, 8.6, 8.544615384615385)","(2.35, 2.4, 2.3822319093286835)","(31.0, 80.0, 73.4)","(31.0, 80.0, 72.8)"
12-01-2023 18:36:32.211329,"(13.0, 22.0, 21.210526315789473)","(21.0, 50.0, 46.8)","(4.2, 4.7, 4.615527950310559)","(20.0, 24.0, 25.10810810810811)","(16.0, 26.0, 25.81081081081081)","(19.0, 32.0, 30.46153846153846)","(16.0, 24.0, 24.2)","(91.0, 210.0, 198.57142857142858)","(6.0, 8.6, 8.790909090909091)","(2.35, 2.34, 2.3212642225031606)","(31.0, 90.0, 83.0)","(31.0, 80.0, 76.05263157894737)"
12-01-2023 18:36:34.021537,"(13.0, 22.0, 21.6)","(21.0, 50.0, 47.0)","(4.2, 4.7, 4.5775)","(20.0, 26.0, 25.228571428571428)","(16.0, 27.0, 25.75)","(19.0, 32.0, 30.580645161290324)","(16.0, 25.0, 24.23076923076923)","(91.0, 210.0, 200.0)","(6.0, 8.8, 9.183783783783783)","(2.35, 2.34, 2.3036923076923075)","(31.0, 90.0, 82.5)","(31.0, 80.0, 76.66666666666667)"
12-01-2023 18:36:36.052064,"(13.0, 22.0, 21.545454545454547)","(21.0, 50.0, 48.77777777777778)","(4.2, 4.6, 4.60503144654088)","(20.0, 26.0, 25.757575757575758)","(16.0, 27.0, 26.1875)","(19.0, 32.0, 30.551724137931036)","(16.0, 25.0, 24.285714285714285)","(91.0, 210.0, 200.0)","(6.0, 9.2, 9.441666666666666)","(2.35, 2.32, 2.277428571428571)","(31.0, 90.0, 86.0)","(31.0, 80.0, 76.875)"
12-01-2023 18:36:37.935749,"(13.0, 23.0, 21.545454545454547)","(21.0, 55.0, 48.63636363636363)","(4.2, 4.7, 4.609850746268656)","(20.0, 26.0, 25.694444444444443)","(16.0, 27.0, 28.25)","(19.0, 32.0, 30.551724137931036)","(16.0, 25.0, 24.4)","(91.0, 210.0, 200.0)","(6.0, 9.6, 9.46)","(2.35, 2.28, 2.2688461538461535)","(31.0, 90.0, 86.0)","(31.0, 80.0, 71.0)"
12-01-2023 18:36:40.120843,"(13.0, 23.0, 21.636363636363637)","(21.0, 55.0, 49.55555555555556)","(4.2, 4.7, 4.572413793103448)","(20.0, 26.0, 25.892857142857142)","(16.0, 29.0, 31.333333333333332)","(19.0, 32.0, 30.818181818181817)","(16.0, 25.0, 24.35593220338983)","(91.0, 210.0, 205.0)","(6.0, 9.6, 9.616)","(2.35, 2.28, 2.2240611353711794)","(31.0, 90.0, 87.5)","(31.0, 75.0, 71.42857142857143)"
12-01-2023 18:36:42.061967,"(13.0, 23.0, 22.428571428571427)","(21.0, 55.0, 52.375)","(4.2, 4.6, 4.552083333333333)","(20.0, 26.0, 26.434782608695652)","(16.0, 32.0, 30.571428571428573)","(19.0, 32.0, 29.2)","(16.0, 27.0, 25.294117647058822)","(91.0, 210.0, 205.0)","(6.0, 9.8, 9.747368421052633)","(2.35, 2.24, 2.2203418803418806)","(31.0, 90.0, 88.57142857142857)","(31.0, 80.0, 73.15789473684211)"
12-01-2023 18:36:44.068401,"(13.0, 23.0, 22.5)","(21.0, 55.0, 54.0)","(4.2, 4.6, 4.562637362637362)","(20.0, 27.0, 26.5)","(16.0, 32.0, 30.571428571428573)","(19.0, 30.0, 29.2)","(16.0, 26.0, 25.428571428571427)","(91.0, 210.0, 207.14285714285714)","(6.0, 10.0, 9.691525423728812)","(2.35, 2.22, 2.214166666666667)","(31.0, 90.0, 88.57142857142857)","(31.0, 80.0, 76.15384615384616)"
