,Mega Banjo,Tricky Kelvin,Be A Character,Fine Wee Lass,Into The Coffee,Rio Ripley,Donald Lane
07-12-2022 18:19:34.860407,"(6.0, 9.0, 8.1)","(4.2, 4.6, 4.454545454545454)","(4.8, 10.0, 8.528571428571428)","(5.0, 6.8, 6.62)","(26.0, 60.0, 46.0)","(3.9, 4.6, 4.417391304347826)","(5.0, 8.2, 7.5)"
07-12-2022 18:19:35.846481,"(6.0, 8.6, 8.16)","(4.2, 4.6, 4.317647058823529)","(4.8, 10.5, 8.528571428571428)","(5.0, 6.8, 6.62)","(26.0, 80.0, 46.0)","(3.9, 4.6, 4.417391304347826)","(5.0, 8.4, 7.5)"
07-12-2022 18:19:37.206450,"(6.0, 8.6, 8.16)","(4.2, 4.6, 4.3875)","(4.8, 10.5, 10.1)","(5.0, 6.8, 6.62)","(26.0, 80.0, 45.714285714285715)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.2, 7.5)"
07-12-2022 18:19:38.356713,"(6.0, 8.4, 7.733333333333333)","(4.2, 4.5, 4.3875)","(4.8, 12.0, 10.1)","(5.0, 6.8, 6.62)","(26.0, 80.0, 45.714285714285715)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.0, 7.5)"
07-12-2022 18:19:39.457732,"(6.0, 8.2, 7.84)","(4.2, 4.6, 4.409523809523809)","(4.8, 11.5, 8.5)","(5.0, 6.8, 6.62)","(26.0, 80.0, 45.714285714285715)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.0, 7.5)"
07-12-2022 18:19:40.680163,"(6.0, 8.2, 7.84)","(4.2, 4.6, 4.393103448275862)","(4.8, 11.5, 9.215789473684211)","(5.0, 6.8, 6.62)","(26.0, 70.0, 51.0)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.0, 6.833333333333333)"
07-12-2022 18:19:41.762809,"(6.0, 8.2, 7.84)","(4.2, 4.6, 4.317647058823529)","(4.8, 11.5, 8.863636363636363)","(5.0, 6.8, 6.62)","(26.0, 65.0, 51.0)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.0, 7.25)"
07-12-2022 18:19:42.932970,"(6.0, 8.0, 7.2)","(4.2, 4.5, 4.325)","(4.8, 11.5, 8.863636363636363)","(5.0, 6.8, 6.62)","(26.0, 65.0, 51.0)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.0, 7.25)"
07-12-2022 18:19:44.033382,"(6.0, 7.8, 7.1)","(4.2, 4.5, 4.325)","(4.8, 11.5, 10.34)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 58.099999999999994)","(3.9, 4.6, 4.412121212121212)","(5.0, 8.0, 7.25)"
07-12-2022 18:19:45.013122,"(6.0, 7.8, 7.1)","(4.2, 4.6, 4.3999999999999995)","(4.8, 11.5, 9.166666666666666)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 61.769230769230774)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.8, 6.938461538461539)"
07-12-2022 18:19:46.027589,"(6.0, 7.8, 7.1)","(4.2, 4.6, 4.3538461538461535)","(4.8, 11.5, 9.227272727272727)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 61.5)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.6, 7.184615384615385)"
07-12-2022 18:19:47.030395,"(6.0, 7.8, 7.1)","(4.2, 4.6, 4.485714285714286)","(4.8, 11.0, 9.5)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 61.5945945945946)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.8, 7.184615384615385)"
07-12-2022 18:19:48.080297,"(6.0, 7.8, 7.1)","(4.2, 4.5, 4.376470588235295)","(4.8, 11.0, 9.5)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 61.5)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.8, 7.425)"
07-12-2022 18:19:49.155594,"(6.0, 7.8, 7.1)","(4.0, 4.5, 4.376470588235295)","(5.0, 11.0, 9.9)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 61.5)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.8, 6.75)"
07-12-2022 18:19:50.293246,"(6.0, 7.8, 7.1)","(4.0, 4.5, 4.325)","(5.0, 11.0, 9.649999999999999)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 62.78947368421053)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.8, 7.2)"
07-12-2022 18:19:51.377374,"(6.0, 7.8, 6.442424242424242)","(4.0, 4.6, 4.4222222222222225)","(5.0, 11.0, 10.4)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 62.78947368421053)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.6, 7.275)"
07-12-2022 18:19:52.327520,"(6.0, 7.8, 6.432558139534884)","(4.0, 4.6, 4.4)","(5.0, 11.0, 10.228571428571428)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 63.2972972972973)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.8, 7.425)"
07-12-2022 18:19:53.410481,"(6.0, 7.8, 6.432558139534884)","(4.0, 4.6, 4.3538461538461535)","(5.0, 11.0, 10.68235294117647)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 63.2972972972973)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.6, 6.914285714285714)"
07-12-2022 18:19:54.523098,"(6.0, 7.8, 6.4318181818181825)","(4.0, 4.6, 4.3538461538461535)","(5.0, 11.0, 10.6)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 62.78947368421053)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.6, 6.914285714285714)"
07-12-2022 18:19:55.593158,"(6.0, 7.4, 6.9)","(4.0, 4.5, 4.325)","(5.0, 11.0, 9.95)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 62.78947368421053)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.6, 7.066666666666667)"
07-12-2022 18:19:56.880525,"(6.0, 7.4, 7.0)","(4.0, 4.5, 4.36)","(5.0, 11.0, 9.95)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 57.4)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.4, 6.9875)"
07-12-2022 18:19:58.011823,"(6.0, 7.4, 7.0)","(4.0, 4.5, 4.36)","(5.0, 11.0, 9.95)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 57.4)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.4, 6.9875)"
07-12-2022 18:19:59.082090,"(6.0, 7.4, 6.288888888888889)","(4.0, 4.6, 4.4)","(5.0, 11.0, 9.95)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 50.42857142857143)","(3.9, 4.6, 4.412121212121212)","(5.0, 7.4, 6.9875)"
07-12-2022 18:20:00.147148,"(6.0, 7.4, 6.264864864864865)","(4.0, 4.6, 4.4)","(5.0, 11.0, 10.825)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 50.42857142857143)","(3.9, 4.5, 4.418181818181819)","(5.0, 7.4, 6.9875)"
