,Virage Volante,Wilcott,Tommy Throttle,Boundin Blue,Steel Harbour,Magic Burner,All About,Tyrion Lannister
07-01-2023 09:39:28.834958,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:30.069348,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:31.265387,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:32.574098,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:33.803440,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:35.053178,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:36.355626,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:37.584147,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:38.838950,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:40.050549,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:41.292401,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:42.498497,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:43.761569,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:45.111492,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:46.223672,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
