,Blushed,Gee Gees Jennia,Silver Persuasion,Twee,Need A Flutter,Zeva Royale,Further North,Piiink Beauty
06-01-2023 14:53:48.549535,"(7.0, 99999, 99990)","(4.6, 6.0, 5.641176470588236)","(8.5, 9.6, 9.025)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 13.5, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:49.876420,"(7.0, 99999, 99990)","(4.6, 5.9, 5.390909090909091)","(8.5, 9.4, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:51.131437,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:52.321545,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:53.434127,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:54.488452,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:55.684975,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:56.868503,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:58.074864,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:53:59.201576,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:00.446073,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:01.712539,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
