,Dandelion,Tarzan Gunn,Starlight Nelly,Full Of Cheek,Shian Silva,Mandela,My Ninja,Sirius Lizzie
06-01-2023 14:19:57.222468,"(4.6, 8.4, 6.9282051282051285)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.27272727272727)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.073913043478262)"
06-01-2023 14:19:58.646193,"(4.6, 8.4, 6.9282051282051285)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.073913043478262)"
06-01-2023 14:20:00.227902,"(4.6, 8.4, 6.9282051282051285)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.073913043478262)"
06-01-2023 14:20:01.633436,"(4.6, 8.4, 6.9282051282051285)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.073913043478262)"
06-01-2023 14:20:03.159850,"(4.6, 8.4, 6.9282051282051285)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.073913043478262)"
06-01-2023 14:20:04.574321,"(4.6, 8.4, 6.9282051282051285)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.075)"
06-01-2023 14:20:05.968170,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.075)"
06-01-2023 14:20:07.316965,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.075)"
06-01-2023 14:20:08.538926,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.075)"
06-01-2023 14:20:09.792866,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 14.075)"
06-01-2023 14:20:11.058762,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:12.278102,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:13.504787,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:14.701792,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:15.887394,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:17.053068,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:18.073243,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:19.235100,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:20.393331,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:21.556887,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:22.696089,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:23.836296,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:25.171413,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:26.461796,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
