,Sals Blue Boy,Blink You Lose,Fake Promises,Hank Tank,Edge Gambler,Make It Count,Boston Budgies,Blazing Bob
08-01-2023 18:26:19.920184,"(2.4, 2.62, 2.5762962962962965)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.213333333333334)","(71.0, 790.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:21.700268,"(2.4, 2.6, 2.5762962962962965)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.213333333333334)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:23.437211,"(2.4, 2.6, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.5473684210526315)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:24.843683,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.5473684210526315)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:26.441736,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 6.45)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:27.837582,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 6.227272727272727)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:29.324976,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.694736842105263)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:30.833671,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.768421052631579)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:32.359391,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.768421052631579)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:33.667938,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.768421052631579)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:34.991141,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:36.454221,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 483.0)","(31.0, 100.0, 91.125)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:37.833595,"(2.4, 2.62, 2.5640860215053762)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 483.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:39.195535,"(2.4, 2.6, 2.5155555555555558)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 483.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:40.614055,"(2.4, 2.6, 2.5155555555555558)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 483.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:42.044113,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:43.313508,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:44.648137,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:45.921486,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:47.171288,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:48.423030,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:49.896229,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:51.446763,"(2.4, 2.52, 2.4410526315789474)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 81.75)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:52.870108,"(2.4, 2.52, 2.500722891566265)","(7.5, 14.0, 11.333333333333332)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 500.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:54.478920,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:55.899384,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:57.234194,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:58.564956,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:26:59.963806,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:01.376165,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 18.857142857142858)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:02.688006,"(2.4, 2.52, 2.500722891566265)","(7.5, 15.5, 13.357142857142858)","(7.5, 24.0, 19.07142857142857)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:03.978517,"(2.4, 2.52, 2.4266666666666667)","(7.5, 17.0, 14.942857142857143)","(7.5, 24.0, 19.07142857142857)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:05.354720,"(2.4, 2.52, 2.4752941176470586)","(7.5, 17.0, 14.257142857142858)","(7.5, 24.0, 19.07142857142857)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:06.707267,"(2.4, 2.52, 2.4752941176470586)","(7.5, 17.0, 14.314285714285715)","(7.5, 24.0, 18.5)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:08.015726,"(2.4, 2.52, 2.4752941176470586)","(7.5, 17.0, 15.120000000000001)","(7.5, 24.0, 18.5)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:09.363552,"(2.4, 2.52, 2.4869565217391303)","(7.5, 17.0, 15.120000000000001)","(7.5, 24.0, 17.125)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:10.672299,"(2.4, 2.52, 2.507848101265823)","(7.5, 17.0, 13.933333333333334)","(7.5, 24.0, 17.125)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:11.894752,"(2.4, 2.52, 2.507848101265823)","(7.5, 17.0, 13.933333333333334)","(7.5, 24.0, 17.88888888888889)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:13.139090,"(2.4, 2.52, 2.507848101265823)","(7.5, 17.0, 13.933333333333334)","(7.5, 24.0, 17.88888888888889)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:14.488688,"(2.4, 2.52, 2.507848101265823)","(7.5, 17.0, 14.428571428571429)","(7.5, 24.0, 19.285714285714285)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
08-01-2023 18:27:15.822355,"(2.4, 2.52, 2.507848101265823)","(7.5, 17.0, 14.428571428571429)","(7.5, 24.0, 19.285714285714285)","(61.0, 550.0, 260.7692307692308)","(4.0, 9.6, 5.842105263157895)","(71.0, 580.0, 481.0)","(31.0, 100.0, 90.875)","(3.2, 4.6, 3.9749999999999996)"
