,Potato Cake,Eyes On Meg,Ryans Pick,Dennis Denuto,Londonderry Lady,Jax The Hunter,Malligan Bale,Blazing Infrared
16-12-2022 12:13:41.023373,"(7.5, 34.0, 19.650000000000002)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 18.5, 12.166666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:42.019642,"(7.5, 34.0, 19.650000000000002)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 18.5, 12.166666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:43.073577,"(7.5, 34.0, 19.650000000000002)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 18.5, 12.166666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:44.060340,"(7.5, 34.0, 19.650000000000002)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 18.5, 10.666666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:45.061546,"(7.5, 27.0, 24.514285714285712)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.0, 10.666666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:46.046046,"(7.5, 27.0, 24.514285714285712)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.0, 10.666666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:47.062435,"(7.5, 27.0, 24.514285714285712)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.0, 10.666666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:48.036552,"(7.5, 27.0, 24.514285714285712)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.0, 10.666666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:49.040398,"(7.5, 27.0, 24.514285714285712)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.0, 10.666666666666666)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:50.084237,"(7.5, 27.0, 24.514285714285712)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.0, 14.25)","(7.5, 13.5, 7.9875)"
