,Whiskey Soda,War Drum Express,Hank The Hustler,Emerley Together,Sutton Sandy,Wind Burn Flash,Powder Finger,Harry
0,"[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 38, 602576), 6.5, 11.5]"
1,"[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 39, 768729), 6.5, 11.0]"
2,"[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 40, 905159), 6.5, 11.0]"
3,"[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 42, 35661), 6.5, 11.0]"
4,"[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 43, 211085), 6.5, 11.0]"
5,"[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 44, 359972), 6.5, 11.0]"
6,"[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 45, 496547), 6.5, 11.0]"
7,"[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 2.5, 2.52]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 46, 630951), 6.5, 10.5]"
8,"[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 47, 766023), 6.5, 10.5]"
9,"[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 2.5, 2.56]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 7.5, 12.5]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 7.5, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 101.0, 650.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 10.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 8.5, 13.0]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 3.6, 5.8]","[datetime.datetime(2022, 11, 28, 17, 29, 48, 902585), 6.5, 10.5]"
