,Zea Jay,Riverdale Peggy,Aston Rozee,Gucci Giblet,Typhoon Missile,Blue Bale,My Mate Martha
10-01-2023 14:35:43.267240,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 65.0)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:44.377376,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.125)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:45.527302,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.125)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:46.653230,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.125)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:47.773781,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.125)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:48.853418,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.125)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:49.936773,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:51.054659,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:52.117834,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:53.168407,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:54.162985,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:55.185095,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:56.207564,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:57.363058,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:58.582326,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:35:59.759717,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:00.895080,"(3.4, 6.4, 4.197727272727272)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.166666666666668)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.111428571428571)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:01.910035,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 15.181818181818182)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.0784615384615384)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:02.885854,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.5)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 1.958181818181818)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:03.912417,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.5)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 1.958181818181818)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:04.979294,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 11.5)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 1.958181818181818)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:06.052371,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 15.363636363636363)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 1.958181818181818)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:07.067613,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 15.363636363636363)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:08.089609,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 13.75)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:09.193884,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:10.368717,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:11.525534,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:12.667565,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:13.781986,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:14.766384,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:15.761575,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:16.803433,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:17.846753,"(3.4, 6.4, 4.53)","(20.0, 170.0, 78.75)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:18.856330,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:19.935585,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:21.067700,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
