,Perfect Nangar,Double Klatches,King Sumner,Magic Charm,Kulu Fly By,Haas,Midnight Diesel,Jimary Star
10-01-2023 17:48:45.789190,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:46.949617,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:48.039668,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:49.079020,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:50.118330,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:51.186193,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:52.269030,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:53.335528,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:54.424967,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:55.488071,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:56.589884,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:57.684439,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:48:58.828417,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:00.010069,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:01.205041,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:02.367773,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:03.653361,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:04.833526,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:06.042565,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:07.262399,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
10-01-2023 17:49:08.410094,"(4.8, 10.0, 5.264285714285714)","(1.9, 2.34, 2.087878787878788)","(9.0, 20.0, 18.166666666666664)","(31.0, 220.0, 127.0)","(91.0, 650.0, 558.3333333333334)","(5.0, 12.0, 7.664705882352941)","(21.0, 70.0, 61.25)","(5.0, 9.2, 6.257894736842106)"
