,Fever Lee,Showtime Bobby,Illegal Tender,Isa Belle,Elusive Emma,Pipers Band,Ebby Von,Going To Town
10-01-2023 19:09:05.536785,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:06.629696,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:07.755611,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:08.922956,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:10.006632,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:11.070694,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:12.146831,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.945454545454545)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:13.287065,"(6.5, 11.5, 6.607692307692308)","(7.0, 14.0, 11.4)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.057142857142857)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:14.421444,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:15.480410,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
