,Big Ram,Piazza Minerva,Tap Out Mickey,Shes Our Cruze,Miss Von Strudel
16-12-2022 11:45:40.642128,"(9.0, 18.0, 14.5)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.98, 2.85)","(8.5, 14.5, 13.9375)","(4.4, 9.8, 8.848275862068965)"
16-12-2022 11:45:41.471531,"(9.0, 18.0, 14.5)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.98, 2.85)","(8.5, 14.5, 13.9375)","(4.4, 9.8, 8.848275862068965)"
16-12-2022 11:45:42.324198,"(9.0, 17.5, 15.75)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.8176470588235296)","(8.5, 14.5, 13.048387096774194)","(4.4, 9.8, 9.16551724137931)"
16-12-2022 11:45:43.160861,"(9.0, 17.0, 15.956521739130434)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.8176470588235296)","(8.5, 14.0, 13.4)","(4.4, 9.8, 9.16551724137931)"
16-12-2022 11:45:44.005263,"(9.0, 17.0, 15.956521739130434)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.8176470588235296)","(8.5, 14.0, 13.4)","(4.4, 9.8, 9.16551724137931)"
16-12-2022 11:45:45.006725,"(9.0, 17.0, 15.956521739130434)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.8176470588235296)","(8.5, 14.0, 13.4)","(4.4, 9.8, 9.242424242424242)"
16-12-2022 11:45:45.886668,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.8176470588235296)","(8.5, 14.0, 13.578947368421051)","(4.4, 9.8, 9.381818181818181)"
16-12-2022 11:45:46.788408,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.874285714285714)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 9.8, 9.381818181818181)"
16-12-2022 11:45:47.582759,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.874285714285714)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 9.8, 9.460869565217392)"
16-12-2022 11:45:48.392031,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.874285714285714)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 9.8, 9.533333333333333)"
16-12-2022 11:45:49.297087,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.874285714285714)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 9.8, 9.114285714285714)"
16-12-2022 11:45:50.207358,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.85)","(8.5, 14.0, 13.578947368421051)","(4.4, 9.8, 9.114285714285714)"
16-12-2022 11:45:51.129649,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 11.0, 9.378947368421054)"
16-12-2022 11:45:51.961592,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 11.0, 9.782608695652174)"
16-12-2022 11:45:52.960648,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 11.0, 9.428571428571429)"
16-12-2022 11:45:53.794936,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 11.0, 9.428571428571429)"
16-12-2022 11:45:54.610384,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.85)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.409090909090908)"
16-12-2022 11:45:55.519495,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.85)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.409090909090908)"
16-12-2022 11:45:56.401286,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.85)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:45:57.218229,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:45:58.072637,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:45:58.954409,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:45:59.835863,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.763225806451613)","(2.35, 2.96, 2.8225)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:00.713706,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.7830769230769232)","(2.35, 2.96, 2.85)","(8.5, 14.0, 13.578947368421051)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:01.587399,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.874285714285714)","(2.35, 2.96, 2.7840000000000003)","(8.5, 14.0, 13.6)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:02.423083,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.874285714285714)","(2.35, 2.96, 2.84)","(8.5, 14.0, 13.6)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:03.240066,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.7600000000000002)","(2.35, 2.96, 2.84)","(8.5, 14.0, 13.6)","(4.4, 10.5, 9.275510204081632)"
