,Context,Play Fling,Wreck It Rio,Canya Bellatrix,Been Framed,Couch King,Esmay Nelly,Magic Spry
08-01-2023 17:56:17.111549,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:18.296146,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:19.436725,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:20.506622,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:21.636076,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:22.742339,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:23.794974,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:24.982042,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:26.143976,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:27.153836,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
