,Saint Kimetto,Tinker Crystal,Solar Lock,Zakai Bale,Back Pat,Aston Skipper,Zulu Ghost,Groomsman
09-01-2023 15:23:59.035058,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:00.112043,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:01.193189,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:02.312380,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:03.358130,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:04.484353,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:05.661029,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:06.806983,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:07.917364,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:09.029461,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
09-01-2023 15:24:10.162949,"(3.4, 6.6, 4.933333333333334)","(9.0, 22.0, 21.466666666666665)","(10.0, 21.0, 17.0)","(10.0, 24.0, 21.4)","(101.0, 730.0, 665.0)","(2.05, 2.38, 2.0752380952380953)","(11.0, 26.0, 21.5)","(8.5, 15.5, 10.9)"
