,Urban Girl,Smokey Chet,Ivy Pearl,Boom Boom Harley,Spring Release,Petite Swagger,Energetic Cloud,Absolute Desire
07-01-2023 18:40:31.859512,"(13.0, 32.0, 29.692307692307693)","(7.0, 12.0, 9.80952380952381)","(1.75, 1.83, 1.7596551724137932)","(15.0, 29.0, 25.375)","(3.9, 9.6, 8.769230769230768)","(21.0, 75.0, 63.25)","(15.0, 38.0, 23.666666666666668)","(12.0, 25.0, 22.444444444444443)"
07-01-2023 18:40:32.923490,"(13.0, 32.0, 29.692307692307693)","(7.0, 12.0, 9.529411764705882)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 23.666666666666668)","(12.0, 25.0, 22.7)"
07-01-2023 18:40:34.002278,"(13.0, 32.0, 29.692307692307693)","(7.0, 12.0, 9.666666666666666)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 23.666666666666668)","(12.0, 25.0, 22.7)"
07-01-2023 18:40:35.196715,"(13.0, 32.0, 29.692307692307693)","(7.0, 12.0, 9.666666666666666)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 23.666666666666668)","(12.0, 25.0, 22.7)"
07-01-2023 18:40:36.316997,"(13.0, 32.0, 29.692307692307693)","(7.0, 12.0, 9.666666666666666)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 23.666666666666668)","(12.0, 25.0, 22.7)"
07-01-2023 18:40:37.335380,"(13.0, 32.0, 30.333333333333336)","(7.0, 12.0, 9.666666666666666)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 31.857142857142858)","(12.0, 25.0, 22.7)"
07-01-2023 18:40:38.386362,"(13.0, 32.0, 30.333333333333336)","(7.0, 12.0, 9.777777777777779)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 31.0)","(12.0, 25.0, 22.7)"
07-01-2023 18:40:39.384210,"(13.0, 32.0, 30.333333333333336)","(7.0, 12.0, 9.76470588235294)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 31.0)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:40.412491,"(13.0, 32.0, 30.0)","(7.0, 12.0, 9.76470588235294)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 33.8)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:41.447176,"(13.0, 32.0, 30.714285714285715)","(7.0, 12.0, 9.88888888888889)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 9.135483870967741)","(21.0, 75.0, 63.25)","(15.0, 38.0, 33.8)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:42.786801,"(13.0, 32.0, 30.714285714285715)","(7.0, 12.0, 9.88888888888889)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 23.666666666666668)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:43.856047,"(13.0, 32.0, 30.714285714285715)","(7.0, 12.0, 10.226666666666667)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 23.666666666666668)","(11.0, 25.0, 22.7)"
