,Zounile,Thunder Fox,Gotcha Boy,Nicator,Lady Lucilla,Koobah Squeakett,Order Of Merit,Spirit Of Pluto,Circus Bound,Jade,Sausage Sizzle,Distinctive Glory,Auctioneersbid
12-01-2023 16:09:02.819824,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 10.5, 8.566666666666666)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:04.288534,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 10.5, 8.566666666666666)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:05.808778,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 10.5, 8.428571428571429)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:07.653639,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 10.5, 8.428571428571429)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:09.422423,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 10.5, 9.066666666666666)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:10.876055,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 9.066666666666666)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:12.505851,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 9.066666666666666)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:14.099708,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:15.540878,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:17.041343,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
