,Sweet Hummer,Blue Cod,Miss Fischer,Sweet Silver,Boudicca,Thrilling Vespa
11-01-2023 12:26:41.405496,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:42.483394,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:43.521546,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:44.641377,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:45.687406,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:46.837558,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:47.960685,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:49.007116,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:50.095395,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:51.133744,"(2.35, 2.98, 2.7946341463414637)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:52.213657,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:53.297241,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:54.298564,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:55.357589,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:56.408400,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:57.508718,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:58.557297,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:26:59.558198,"(2.35, 2.98, 2.762857142857143)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:00.490644,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:01.474497,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:02.499535,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:03.451968,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:04.427340,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:05.360232,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
