,Orca,Madalia Zoom,Panama Dash,Django Maskiell,Rapid Voyage,Hill Top Jack,Gypsy Ha Ha,Audacious Stell
11-01-2023 20:11:46.132086,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:47.201410,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:48.318975,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:49.447658,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:50.602943,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:51.790619,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:52.926257,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:54.126502,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:55.182763,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:56.236559,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:57.313100,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:11:58.320853,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 135.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
