,Angry Ann,Swiper Taz,Ballina,Misbehaved,Urana Blazer,Coopers Mate,Fabulous Victor,Slingshot Yo Yo
11-01-2023 14:11:23.317341,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:24.822524,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:26.184262,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:27.395636,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:28.786316,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:29.922211,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:31.160201,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:32.418192,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:33.723251,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:35.007484,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:36.220972,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:37.475848,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 198.46153846153845)"
11-01-2023 14:11:38.602034,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 420.0, 235.0)"
11-01-2023 14:11:39.729182,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 410.0, 250.0)"
11-01-2023 14:11:40.804696,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 140.83333333333334)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 12.18)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:41.856668,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.37777777777778)","(31.0, 220.0, 113.125)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 13.425)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:42.965902,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.46666666666667)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 13.425)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:44.002905,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.6, 8.5515625)","(4.2, 7.8, 4.623529411764706)","(10.0, 21.0, 20.46666666666667)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 13.425)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:45.071599,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.748437500000001)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 21.419047619047618)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.5, 13.05)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:46.216011,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.748437500000001)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 250.0)"
