,South Parade,Montenegro,Final Man,Arctic Eagle,Too Viennese,New Enterprise,Panagsama,Rusheen,Frostick,Kishstar,Maldestro,Speed Bump
12-01-2023 17:25:32.859479,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:34.434988,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:35.929183,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:37.429911,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:38.996575,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:40.507082,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:42.108833,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:43.954530,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:45.679956,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:47.422782,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 43.33333333333333)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.511392405063292)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.746153846153846)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:49.146359,"(3.9, 4.9, 4.6066666666666665)","(31.0, 50.0, 40.0)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.48918918918919)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 42.285714285714285)","(3.5, 4.9, 4.807692307692308)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:50.734665,"(3.9, 4.9, 4.614285714285715)","(31.0, 50.0, 40.0)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.48918918918919)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.733333333333333)","(31.0, 48.0, 43.78947368421053)","(3.5, 4.9, 4.807692307692308)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:52.158724,"(3.9, 4.9, 4.614285714285715)","(31.0, 50.0, 40.0)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.48918918918919)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.578947368421053)","(31.0, 48.0, 43.78947368421053)","(3.5, 4.9, 4.807692307692308)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:53.600522,"(3.9, 4.9, 4.614285714285715)","(31.0, 50.0, 40.0)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.48918918918919)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.578947368421053)","(31.0, 48.0, 43.78947368421053)","(3.5, 4.9, 4.807692307692308)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
12-01-2023 17:25:55.114232,"(3.9, 4.9, 4.614285714285715)","(31.0, 50.0, 40.0)","(21.0, 44.0, 29.428571428571427)","(8.5, 10.5, 9.48918918918919)","(7.0, 8.4, 8.216666666666667)","(9.0, 11.0, 10.578947368421053)","(31.0, 48.0, 43.78947368421053)","(3.5, 4.9, 4.807692307692308)","(10.0, 16.0, 13.75)","(13.0, 22.0, 18.5)","(17.0, 27.0, 21.857142857142858)","(31.0, 85.0, 71.66666666666667)"
