,Adaminaby,Conquered Journey,Right On Ralphy,Lord Power,Borlotti Beans,Lord Prophet,Lady Damus
08-12-2022 13:15:59.151401,"(10.0, 19.5, 17.9)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:00.281719,"(10.0, 19.5, 17.9)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:01.329757,"(10.0, 19.5, 14.5)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:02.428030,"(10.0, 19.5, 14.5)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:03.502421,"(10.0, 19.0, 14.333333333333334)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:04.584146,"(10.0, 19.0, 13.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:05.959353,"(10.0, 19.0, 13.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:07.194386,"(10.0, 18.5, 13.083333333333334)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:08.358245,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.25)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:09.500104,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:10.699624,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:11.854578,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:12.904833,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:13.926702,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:15.029671,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:16.243018,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:17.358641,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:18.502629,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:19.548610,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:20.612093,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:21.613524,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 52.2)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:22.830539,"(10.0, 18.0, 15.0)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:24.023575,"(10.0, 18.0, 15.0)","(16.0, 26.0, 21.142857142857142)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:25.165858,"(10.0, 18.0, 15.0)","(16.0, 26.0, 21.142857142857142)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:26.405419,"(10.0, 17.5, 13.833333333333334)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:27.626592,"(10.0, 17.5, 12.785714285714286)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
