,Amazonian Queen,Dots Redeemer,Dr Ryker,Mad Brax,King Kaboom,Button,Mahogany Jet,Shes So Kind
11-01-2023 19:04:07.783738,"(6.0, 13.5, 7.972727272727273)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 11.0, 6.5200000000000005)","(5.5, 9.2, 8.642857142857142)","(7.0, 12.0, 9.3)","(8.5, 22.0, 13.75)","(13.0, 28.0, 26.450000000000003)"
11-01-2023 19:04:09.119457,"(6.0, 13.5, 7.972727272727273)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 11.0, 6.5200000000000005)","(5.5, 9.2, 8.642857142857142)","(7.0, 12.0, 9.3)","(8.5, 22.0, 13.75)","(13.0, 28.0, 26.450000000000003)"
11-01-2023 19:04:10.485568,"(6.0, 13.5, 7.972727272727273)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 11.0, 6.5200000000000005)","(5.5, 9.2, 8.642857142857142)","(7.0, 12.0, 9.3)","(8.5, 22.0, 13.75)","(13.0, 28.0, 26.450000000000003)"
11-01-2023 19:04:11.848511,"(6.0, 13.5, 7.972727272727273)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 11.0, 6.5200000000000005)","(5.5, 9.2, 8.642857142857142)","(7.0, 12.0, 9.3)","(8.5, 22.0, 13.75)","(13.0, 28.0, 26.450000000000003)"
11-01-2023 19:04:13.164011,"(6.0, 13.5, 9.606666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 11.0, 7.95)","(5.5, 9.2, 8.852)","(7.0, 12.0, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:14.454277,"(6.0, 13.5, 8.336363636363636)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:15.749207,"(6.0, 13.0, 11.35)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:17.061590,"(6.0, 13.0, 11.3)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:18.362562,"(6.0, 13.0, 11.3)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:19.620064,"(6.0, 13.0, 11.225)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
