,Lightning Luna,Drive The Jack,Gable,Burning Fee,Bailey The Rock,Woodside Bella
11-01-2023 11:06:57.664666,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:06:58.635945,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:06:59.613556,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:00.722280,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:01.806274,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:02.791400,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:03.693644,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:04.659482,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:05.626613,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:06.520005,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:07.520090,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:08.447077,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:09.510095,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:10.493617,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:11.448768,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:12.434688,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
