,Cashed Up Johnny,Dixie Dutton,Book Of Love,Precious Layla,High Range,Four Barrys,Salem Sweetheart,Cool Red
08-01-2023 16:38:59.401046,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.094736842105263)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:00.511159,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.139473684210526)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:01.575229,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.139473684210526)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:02.582101,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.139473684210526)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:03.596882,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.139473684210526)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:04.631712,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:05.645070,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:06.703946,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:07.797921,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:08.923677,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
