,Grace Elizabeth,Cruz In The Castle,Got Your Number,Jamestown Road,Secret Castle,Miss Wave,Heretodaygonmanana,Cheese Louise,Ocean Lilly
08-01-2023 12:19:31.030564,"(12.0, 17.0, 12.875)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.9)","(6.5, 8.4, 7.6000000000000005)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.125)"
08-01-2023 12:19:32.213945,"(12.0, 17.0, 12.875)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.125)"
08-01-2023 12:19:33.375167,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.125)"
08-01-2023 12:19:34.541927,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.125)"
08-01-2023 12:19:35.739869,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:36.891757,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:38.048104,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:39.172522,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.225)","(6.5, 8.4, 7.983333333333334)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:40.312442,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.0)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:41.422838,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.0)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:42.528700,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.0)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:43.636775,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.0)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:44.801356,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 19.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 6.0)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:45.971874,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 15.9)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:47.051654,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 15.9)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 162.57142857142858)","(31.0, 220.0, 87.33333333333333)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:48.189592,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:49.345818,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:50.503200,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:51.672198,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:52.851314,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:54.025235,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:55.222327,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.5, 14.5)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
