,Dancin In Dubai,Proud Union,Fearnought,Stringfella,Strong Heart,Lil Toughman,Hidden Rod,Stormin Rocket,Manhattan Weave,Freedom Rider
08-01-2023 11:45:33.514436,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.8033333333333335)"
08-01-2023 11:45:34.755660,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:35.886771,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:36.974995,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:38.092018,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:39.210704,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:40.304297,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:41.414362,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:42.542720,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:43.701856,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
