,Victa Kerle
08-01-2023 18:26:17.377892,"(1.45, 1.52, 1.5122941176470588)"
08-01-2023 18:26:18.297172,"(1.45, 1.52, 1.5153703703703705)"
08-01-2023 18:26:19.352461,"(1.45, 1.52, 1.5137362637362637)"
08-01-2023 18:26:20.279629,
08-01-2023 18:26:21.669269,
08-01-2023 18:26:22.807009,
08-01-2023 18:26:23.941382,
08-01-2023 18:26:24.877196,
08-01-2023 18:26:26.079975,
08-01-2023 18:26:26.992153,
08-01-2023 18:26:27.956013,
08-01-2023 18:26:29.022935,
08-01-2023 18:26:29.948326,
08-01-2023 18:26:30.917710,
08-01-2023 18:26:31.967624,
08-01-2023 18:26:32.873343,
08-01-2023 18:26:33.830344,
08-01-2023 18:26:34.805249,
08-01-2023 18:26:35.838884,
08-01-2023 18:26:36.711733,
08-01-2023 18:26:37.681952,
08-01-2023 18:26:38.699272,
08-01-2023 18:26:39.562516,
08-01-2023 18:26:40.618055,
08-01-2023 18:26:41.614926,
08-01-2023 18:26:42.507140,
08-01-2023 18:26:43.409588,
08-01-2023 18:26:44.387922,
08-01-2023 18:26:45.310534,
08-01-2023 18:26:46.250121,
08-01-2023 18:26:47.220287,
08-01-2023 18:26:48.100927,
08-01-2023 18:26:49.216419,
08-01-2023 18:26:50.217465,
08-01-2023 18:26:51.222152,
08-01-2023 18:26:52.128325,
08-01-2023 18:26:53.124176,
08-01-2023 18:26:54.200819,
08-01-2023 18:26:55.139908,
08-01-2023 18:26:56.136969,
08-01-2023 18:26:57.122675,
08-01-2023 18:26:58.061093,
08-01-2023 18:26:58.949672,
08-01-2023 18:26:59.891109,
08-01-2023 18:27:00.827445,
08-01-2023 18:27:01.754896,
08-01-2023 18:27:02.757013,
08-01-2023 18:27:03.676526,
08-01-2023 18:27:04.531593,
08-01-2023 18:27:05.479791,
08-01-2023 18:27:06.513325,
08-01-2023 18:27:07.461282,
08-01-2023 18:27:08.386973,
08-01-2023 18:27:09.399073,
08-01-2023 18:27:10.316346,
08-01-2023 18:27:11.199520,
08-01-2023 18:27:12.145385,
08-01-2023 18:27:13.071576,
08-01-2023 18:27:14.054662,
08-01-2023 18:27:14.931667,
08-01-2023 18:27:15.924825,
08-01-2023 18:27:16.879995,
08-01-2023 18:27:17.660078,
08-01-2023 18:27:18.656507,
08-01-2023 18:27:19.639578,
08-01-2023 18:27:20.571482,
08-01-2023 18:27:21.461823,
08-01-2023 18:27:22.356466,
08-01-2023 18:27:23.276307,
08-01-2023 18:27:24.066034,
08-01-2023 18:27:25.053157,
08-01-2023 18:27:26.016026,
08-01-2023 18:27:26.916489,
08-01-2023 18:27:27.898645,
08-01-2023 18:27:28.834309,
08-01-2023 18:27:29.725909,
08-01-2023 18:27:30.582265,
08-01-2023 18:27:31.581621,
08-01-2023 18:27:32.454129,
08-01-2023 18:27:33.353691,
08-01-2023 18:27:34.282176,
08-01-2023 18:27:35.164488,
08-01-2023 18:27:36.044950,
08-01-2023 18:27:36.931198,
08-01-2023 18:27:37.912451,
08-01-2023 18:27:38.782193,
08-01-2023 18:27:39.638888,
08-01-2023 18:27:40.470081,
08-01-2023 18:27:41.310479,
08-01-2023 18:27:42.181740,
08-01-2023 18:27:43.140823,
08-01-2023 18:27:44.089869,
08-01-2023 18:27:44.951616,
08-01-2023 18:27:45.849063,
08-01-2023 18:27:46.809588,
08-01-2023 18:27:47.804519,
08-01-2023 18:27:48.797278,
08-01-2023 18:27:49.737799,
08-01-2023 18:27:50.532204,
08-01-2023 18:27:51.418981,
08-01-2023 18:27:52.306621,
08-01-2023 18:27:53.230625,
08-01-2023 18:27:54.160734,
08-01-2023 18:27:55.015013,
08-01-2023 18:27:55.916947,
08-01-2023 18:27:56.797868,
08-01-2023 18:27:57.658996,
08-01-2023 18:27:58.602989,
08-01-2023 18:27:59.436784,
08-01-2023 18:28:00.280717,
08-01-2023 18:28:01.081610,
08-01-2023 18:28:01.931197,
08-01-2023 18:28:02.832496,
08-01-2023 18:28:03.707440,
08-01-2023 18:28:04.639900,
08-01-2023 18:28:05.421330,
08-01-2023 18:28:06.305975,
08-01-2023 18:28:07.156229,
08-01-2023 18:28:07.988991,
08-01-2023 18:28:08.837014,
08-01-2023 18:28:09.688316,
08-01-2023 18:28:10.566439,
08-01-2023 18:28:11.387976,
08-01-2023 18:28:12.268217,
08-01-2023 18:28:13.151797,
