,Baozun,Eyes On Red,Helluva Life,Victory Stripe,Fort Knox,Charing Cross,Concrete Finisher,Frosted Prayer,Moro Warrior,Great Faces,Hoodoo Brown
16-12-2022 12:46:26.377219,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:27.600775,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:28.853831,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:30.003095,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:31.129807,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:32.279917,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:33.514210,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:34.843175,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:36.114341,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:37.354399,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
