,Hedaresthedevil,Muletrain,Russet Moon,Triple,Johnny Jude,Production Time,Saber Storm,Gray Dane,Smarty Ridge,Bad Decisions
16-12-2022 12:41:31.096439,"(10.0, 13.5, 12.791666666666668)","(13.0, 23.0, 21.46153846153846)","(7.0, 10.0, 9.23076923076923)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.8, 6.542857142857143)","(17.0, 32.0, 30.333333333333336)","(11.0, 17.0, 16.714285714285715)","(41.0, 390.0, 310.0)","(1.8, 2.14, 2.1325000000000003)"
16-12-2022 12:41:32.338095,"(10.0, 13.0, 12.25)","(13.0, 23.0, 21.46153846153846)","(7.0, 9.6, 9.23076923076923)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.4, 6.6)","(17.0, 32.0, 30.333333333333336)","(11.0, 17.0, 15.337837837837839)","(41.0, 390.0, 302.5)","(1.8, 2.22, 2.1325000000000003)"
16-12-2022 12:41:33.488943,"(10.0, 13.5, 13.1875)","(13.0, 22.0, 21.4)","(7.0, 9.8, 9.4)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.0, 6.6)","(17.0, 32.0, 30.333333333333336)","(11.0, 17.5, 15.595238095238095)","(41.0, 380.0, 327.1428571428571)","(1.8, 2.22, 2.13)"
16-12-2022 12:41:34.753767,"(10.0, 13.5, 13.1875)","(13.0, 22.0, 21.4)","(7.0, 9.8, 9.55)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.0, 6.466666666666667)","(17.0, 32.0, 30.333333333333336)","(12.0, 17.5, 15.595238095238095)","(41.0, 370.0, 327.1428571428571)","(1.8, 2.2, 2.1242105263157898)"
16-12-2022 12:41:35.952782,"(10.0, 13.5, 13.1875)","(13.0, 22.0, 21.4)","(7.0, 9.8, 9.55)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.0, 6.466666666666667)","(17.0, 32.0, 30.333333333333336)","(12.0, 17.5, 16.25)","(41.0, 370.0, 295.0)","(1.8, 2.2, 2.1242105263157898)"
16-12-2022 12:41:37.138833,"(10.0, 13.0, 12.25)","(13.0, 22.0, 21.4)","(7.0, 9.8, 9.700000000000001)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.0, 6.466666666666667)","(17.0, 32.0, 30.333333333333336)","(12.0, 17.0, 16.25)","(41.0, 370.0, 295.0)","(1.8, 2.2, 2.1242105263157898)"
16-12-2022 12:41:38.323574,"(10.0, 13.0, 12.25)","(13.0, 22.0, 21.4)","(7.0, 9.8, 9.700000000000001)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.0, 6.466666666666667)","(17.0, 32.0, 30.333333333333336)","(12.0, 17.0, 16.25)","(41.0, 370.0, 295.0)","(1.8, 2.2, 2.1242105263157898)"
16-12-2022 12:41:39.541069,"(10.0, 13.0, 11.916666666666666)","(13.0, 22.0, 20.6)","(7.0, 9.8, 9.527272727272727)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.0, 6.666666666666667)","(17.0, 32.0, 27.0)","(12.0, 17.0, 15.890243902439025)","(41.0, 370.0, 327.1428571428571)","(1.8, 2.2, 2.138888888888889)"
16-12-2022 12:41:40.766711,"(10.0, 14.0, 12.125)","(13.0, 21.0, 20.6)","(7.0, 9.8, 9.2)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.6, 6.8)","(17.0, 34.0, 27.0)","(12.0, 17.5, 15.535714285714286)","(41.0, 360.0, 212.5)","(1.8, 2.12, 2.035)"
16-12-2022 12:41:41.945008,"(10.0, 14.0, 12.125)","(13.0, 21.0, 20.6)","(7.0, 9.8, 9.457142857142857)","(21.0, 46.0, 40.0)","(26.0, 65.0, 62.5)","(6.5, 7.6, 7.226666666666667)","(17.0, 34.0, 27.0)","(12.0, 17.5, 15.614285714285714)","(41.0, 350.0, 212.5)","(1.8, 2.12, 2.098666666666667)"
