,Feeling Fancy,Miss June,Homebush Villa,Mitcham Zorro,Homebush Opal,Tammy The Tomboy,Harpoon Bale,Goldstar Smiles
06-01-2023 11:59:05.105914,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.36, 1.6361904761904762)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:06.561686,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.36, 1.6361904761904762)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:07.948419,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.36, 1.6361904761904762)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:09.355973,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.36, 1.69)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:10.796785,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.34, 1.69)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:12.383042,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.34, 1.69)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:13.916103,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.34, 1.69)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:15.356856,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.34, 1.69)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:16.660272,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.34, 1.69)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:17.900274,"(6.5, 21.0, 10.214285714285715)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 11.68)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.34, 1.6272727272727272)","(15.0, 130.0, 77.27272727272727)"
06-01-2023 11:59:19.227500,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 13.2)","(1.5, 2.3, 1.6272727272727272)","(15.0, 130.0, 77.6)"
06-01-2023 11:59:20.543281,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:21.875376,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
