,Mezidon,Barmera,Different Road,Putt For Dough,Mr Showman,Alfano,Gypsy King,Jeune Dreamon,Mad Darcey,Not That Easy
04-01-2023 12:56:05.075764,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.53846153846154)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:06.354735,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.735294117647058)"
04-01-2023 12:56:07.652750,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.735294117647058)"
04-01-2023 12:56:08.885651,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 36.18181818181818)","(31.0, 75.0, 73.4375)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.735294117647058)"
04-01-2023 12:56:10.117937,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 42.0, 38.94736842105263)","(31.0, 75.0, 67.64705882352942)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:11.668930,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9165876777251185)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:13.179238,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:14.575913,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:15.922987,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:17.347873,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:18.696939,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:20.083187,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:21.427519,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:22.776806,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:24.212849,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.837209302325581)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.4)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.666666666666666)"
04-01-2023 12:56:25.654087,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.735294117647058)"
04-01-2023 12:56:27.083912,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.526136363636364)","(20.0, 44.0, 42.95652173913044)","(14.0, 23.0, 22.625)","(12.0, 18.0, 16.714285714285715)","(20.0, 40.0, 39.310344827586206)","(31.0, 70.0, 64.28571428571428)","(3.4, 3.95, 3.9225680933852143)","(9.0, 13.0, 12.735294117647058)"
04-01-2023 12:56:28.528572,"(6.0, 7.0, 6.946218487394958)","(9.0, 12.0, 11.892561983471074)","(3.7, 4.6, 4.504411764705882)","(20.0, 44.0, 42.588235294117645)","(14.0, 23.0, 22.612903225806452)","(12.0, 18.0, 17.82142857142857)","(20.0, 40.0, 39.130434782608695)","(31.0, 70.0, 62.94117647058823)","(3.4, 3.95, 3.897894736842105)","(9.0, 13.0, 12.452380952380953)"
04-01-2023 12:56:29.972257,"(6.0, 7.2, 6.8384279475982535)","(9.0, 12.0, 11.872727272727273)","(3.7, 4.6, 4.504411764705882)","(20.0, 44.0, 42.588235294117645)","(14.0, 23.0, 22.612903225806452)","(12.0, 18.0, 17.379310344827587)","(20.0, 40.0, 37.69230769230769)","(31.0, 70.0, 63.33333333333333)","(3.4, 3.9, 3.908823529411765)","(9.0, 12.5, 12.428571428571429)"
04-01-2023 12:56:31.354333,"(6.0, 7.0, 6.992380952380953)","(9.0, 12.0, 11.872727272727273)","(3.7, 4.6, 4.504411764705882)","(20.0, 44.0, 42.588235294117645)","(14.0, 23.0, 22.612903225806452)","(12.0, 18.0, 17.379310344827587)","(20.0, 40.0, 37.69230769230769)","(31.0, 70.0, 63.33333333333333)","(3.4, 3.95, 3.908823529411765)","(9.0, 12.5, 12.428571428571429)"
04-01-2023 12:56:32.800312,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.6, 4.537623762376238)","(20.0, 44.0, 41.89473684210526)","(14.0, 23.0, 22.38235294117647)","(12.0, 18.0, 17.25)","(20.0, 40.0, 35.368421052631575)","(31.0, 70.0, 61.578947368421055)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:34.260659,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:35.707741,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:37.129953,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:38.740610,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:40.453359,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:42.149572,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:43.610901,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.53015873015873)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:45.066526,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.536190476190476)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:46.500890,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.536190476190476)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.4, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:47.939450,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.536190476190476)","(20.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.3, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
