,Victa Monty,Bag The Cash,Koepka,Bermuda Sky,Stella Star,Club Supreme
16-12-2022 10:16:42.076745,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:43.037455,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:43.946030,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:44.857276,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:45.750187,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:46.651441,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:47.579373,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:48.449689,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:49.402176,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:50.342834,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
