,Tinted,Queen Of Stripes,Dr Dixie,Julipa Bale,Quinnley Bale,Stay At Home,Jay Jay Lopez
12-01-2023 16:09:21.572455,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:22.670547,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:23.732894,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:24.822737,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:26.190234,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:27.616170,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:28.756799,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:29.853348,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:30.896150,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:32.015400,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:33.072461,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:34.044669,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:35.096913,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:36.213519,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:37.299164,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:38.362583,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:39.482050,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:40.540963,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:41.470423,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:42.496216,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:43.546171,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:44.622895,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:45.781139,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:46.808864,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:47.819047,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:48.924618,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:49.899995,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:50.905386,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:52.054492,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:53.200486,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:54.259111,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:55.342030,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:56.473876,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:57.466100,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:58.505343,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:09:59.558865,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:00.545079,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:01.655523,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:02.704823,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:03.659518,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:04.687861,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
