,Jemeldi,Billionair Baby,Hard To Say,Roll Up,Busting,Cripps Tonite,Corfe Castle,Junqueira,Shaquila,Wowits Willywonka,Alert State,Mishani Persuasion
07-01-2023 15:03:54.225835,"(31.0, 55.0, 54.473684210526315)","(19.0, 34.0, 31.625)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.148678414096916)","(14.0, 18.0, 17.53614457831325)","(7.0, 8.2, 8.161344537815125)","(2.5, 2.88, 2.8837931034482756)","(17.0, 24.0, 23.81081081081081)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:03:55.470661,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.625)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.148678414096916)","(14.0, 18.0, 17.53614457831325)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.9, 2.902773722627737)","(17.0, 24.0, 23.81081081081081)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:03:56.893019,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.625)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.148678414096916)","(14.0, 18.0, 17.53614457831325)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.902773722627737)","(17.0, 24.0, 23.64864864864865)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:03:58.295308,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.152448979591837)","(14.0, 18.0, 17.53614457831325)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.902773722627737)","(17.0, 24.0, 23.64864864864865)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:03:59.587556,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.152448979591837)","(14.0, 18.0, 17.40776699029126)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.912)","(17.0, 24.0, 23.535714285714285)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:04:00.815471,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.180405405405406)","(14.0, 17.5, 17.40776699029126)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.912)","(17.0, 24.0, 23.535714285714285)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:04:02.016152,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.180405405405406)","(14.0, 17.5, 17.40776699029126)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.916190476190476)","(17.0, 24.0, 23.61764705882353)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:04:03.306318,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.3, 4.241666666666666)","(14.0, 17.5, 17.403846153846153)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.9129411764705884)","(17.0, 24.0, 23.535714285714285)","(61.0, 80.0, 75.83333333333333)","(51.0, 85.0, 79.16666666666667)","(101.0, 280.0, 200.0)"
07-01-2023 15:04:04.586444,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.3, 4.183216783216784)","(14.0, 17.5, 17.403846153846153)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.9129411764705884)","(17.0, 24.0, 23.535714285714285)","(61.0, 80.0, 76.44444444444444)","(51.0, 85.0, 81.66666666666667)","(101.0, 280.0, 235.55555555555554)"
07-01-2023 15:04:05.802038,"(31.0, 55.0, 54.473684210526315)","(19.0, 32.0, 31.0)","(10.0, 12.5, 12.31132075471698)","(26.0, 38.0, 37.054545454545455)","(3.8, 4.2, 4.16996996996997)","(14.0, 17.5, 17.403846153846153)","(7.0, 8.2, 8.171779141104293)","(2.5, 2.92, 2.9129411764705884)","(17.0, 24.0, 23.535714285714285)","(61.0, 80.0, 76.44444444444444)","(51.0, 85.0, 84.28571428571429)","(101.0, 280.0, 235.55555555555554)"
