,My Dreamer,Bombers Reward,Dr Callie,His Genius Hands,Dr Jax,Early Secrets,Feather Nest,Kale
14-12-2022 18:44:56.638137,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:44:57.680657,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:44:58.835383,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:44:59.878442,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:00.923074,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:01.977492,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:03.020281,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:04.288779,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:05.348358,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:06.352712,"(1.9, 2.5, 2.24)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:07.703595,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:09.037066,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:10.425567,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:11.614810,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:12.680584,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:13.848003,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:14.902967,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:15.952169,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:17.036557,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:18.074301,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:19.143118,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:20.377447,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:21.505086,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:22.519313,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:23.597313,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:24.678223,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:25.805454,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:26.917530,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:28.016440,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:29.117581,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:30.323199,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:31.474723,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:32.552046,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:33.572866,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:34.588158,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:35.583222,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:36.634495,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:37.700157,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:38.851884,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
14-12-2022 18:45:39.936671,"(1.9, 2.5, 2.1363636363636362)","(26.0, 190.0, 107.5)","(51.0, 270.0, 83.33333333333334)","(4.8, 8.4, 4.916666666666666)","(101.0, 720.0, 390.0)","(5.0, 9.2, 5.76)","(3.2, 4.0, 3.673076923076923)","(51.0, 390.0, 103.33333333333334)"
