,Elettrica,Anagain,Black On Beauty,Miss Lenorr,The Storm In Me,Summerbeel,Sebrings Rose,Spanish Pearl,Arranmore
11-01-2023 15:19:44.188835,"(4.4, 5.1, 4.95)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.386666666666667)","(4.8, 5.4, 5.383333333333334)","(17.0, 28.0, 20.666666666666668)","(9.0, 12.0, 11.363636363636363)","(16.0, 32.0, 25.75)","(21.0, 110.0, 28.896551724137932)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:45.847217,"(4.4, 5.1, 4.95)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.386666666666667)","(4.8, 5.4, 5.383333333333334)","(17.0, 28.0, 20.666666666666668)","(9.0, 12.0, 11.363636363636363)","(16.0, 32.0, 25.75)","(21.0, 110.0, 48.10526315789474)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:47.539790,"(4.4, 5.1, 4.95)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.386666666666667)","(4.8, 5.4, 5.358823529411765)","(17.0, 28.0, 20.666666666666668)","(9.0, 12.0, 11.363636363636363)","(16.0, 32.0, 25.75)","(21.0, 110.0, 48.10526315789474)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:49.453090,"(4.4, 5.1, 4.95)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.386666666666667)","(4.8, 5.4, 5.227272727272727)","(17.0, 28.0, 20.666666666666668)","(9.0, 12.0, 11.363636363636363)","(16.0, 32.0, 24.48780487804878)","(21.0, 110.0, 48.10526315789474)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:51.099274,"(4.4, 5.1, 4.95)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 23.6)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 48.10526315789474)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:52.730331,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 23.6)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 48.10526315789474)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:54.231245,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 23.6)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 48.10526315789474)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:55.701590,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:57.230017,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.714285714285714)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:19:58.764463,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:00.368560,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:01.903400,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.227272727272727)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 24.5)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:03.426314,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.3, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 32.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:04.951397,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:06.424264,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:07.886655,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:09.455244,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:10.998645,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:12.529173,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:14.066443,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:15.532708,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:17.075554,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:18.584776,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:20.108146,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:21.626803,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:23.200326,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:24.777851,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.6499999999999995)","(5.0, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(17.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 30.82758620689655)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:26.399278,"(4.4, 5.1, 4.875)","(4.8, 5.8, 5.285714285714286)","(5.5, 7.6, 7.428571428571429)","(4.8, 5.4, 5.2)","(18.0, 28.0, 26.0)","(9.0, 12.0, 10.6875)","(16.0, 30.0, 29.4)","(21.0, 110.0, 47.94594594594595)","(8.0, 9.8, 9.085714285714287)"
11-01-2023 15:20:28.256573,"(4.4, 5.1, 5.0)","(4.8, 5.8, 5.44)","(5.5, 7.6, 7.48)","(4.8, 5.4, 5.2444444444444445)","(18.0, 28.0, 21.0)","(9.0, 12.0, 10.95)","(16.0, 30.0, 26.0)","(21.0, 110.0, 31.79310344827586)","(8.0, 9.8, 9.3)"
11-01-2023 15:20:30.042037,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.8, 5.482352941176471)","(5.5, 7.6, 7.48)","(4.8, 5.4, 5.2444444444444445)","(18.0, 28.0, 24.5)","(9.0, 12.0, 10.95)","(16.0, 30.0, 26.0)","(21.0, 110.0, 31.79310344827586)","(8.0, 9.6, 9.225)"
11-01-2023 15:20:31.551054,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.8, 5.482352941176471)","(5.5, 7.6, 7.45)","(4.8, 5.4, 5.2444444444444445)","(18.0, 28.0, 24.5)","(9.0, 12.0, 10.95)","(16.0, 30.0, 26.0)","(21.0, 110.0, 31.79310344827586)","(8.0, 9.6, 9.225)"
11-01-2023 15:20:33.086963,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.8, 5.53)","(5.5, 7.6, 7.45)","(4.8, 5.4, 5.384530386740332)","(18.0, 28.0, 24.5)","(9.0, 12.0, 10.95)","(16.0, 30.0, 26.0)","(21.0, 110.0, 31.79310344827586)","(8.0, 9.6, 9.225)"
11-01-2023 15:20:34.626142,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.8, 5.588235294117647)","(5.5, 7.6, 7.45)","(4.8, 5.4, 5.384530386740332)","(18.0, 28.0, 24.5)","(9.0, 12.0, 10.95)","(16.0, 30.0, 26.0)","(21.0, 110.0, 31.79310344827586)","(8.0, 9.6, 9.225)"
11-01-2023 15:20:36.132357,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.8, 5.366666666666667)","(5.5, 7.6, 7.409756097560976)","(4.8, 5.4, 5.333333333333334)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 29.142857142857142)","(21.0, 110.0, 31.79310344827586)","(8.0, 9.6, 10.413333333333334)"
11-01-2023 15:20:37.598707,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.7, 5.352777777777778)","(5.5, 7.6, 7.409756097560976)","(4.8, 5.4, 5.319402985074627)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 29.142857142857142)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 10.204545454545455)"
