,Twenty Two Black,Aeroplane Ellie,Determination,Latham Bale,Islas Boy,Conor Pass,Kelseys Girl,Just Shout
09-01-2023 12:13:44.342228,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:45.527006,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:46.740358,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:47.937145,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:49.134925,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:50.254532,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:51.391284,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:52.499945,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:53.591034,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:54.653441,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
