,Mustang Dude,Eastbro Tex,Dallas Cowgirl,Darby Brights,Beyonski,Taleggio,Shez Got Bling,Lesvos Lad
05-01-2023 14:19:19.447275,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 7.15)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:21.002412,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 7.15)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:22.726455,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 7.15)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:24.231149,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 6.763636363636364)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:25.624343,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 6.763636363636364)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:27.025731,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 7.130769230769231)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:28.682591,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 20.75)","(5.5, 8.8, 7.130769230769231)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:30.269015,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 28.0, 14.545454545454545)","(5.5, 8.8, 7.130769230769231)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:31.691364,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 25.0, 14.545454545454545)","(5.5, 8.8, 7.130769230769231)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
05-01-2023 14:19:33.080425,"(6.0, 9.4, 7.65)","(2.05, 2.84, 2.734285714285714)","(15.0, 25.0, 14.545454545454545)","(5.5, 8.8, 7.130769230769231)","(41.0, 85.0, 55.0)","(21.0, 46.0, 34.0)","(3.3, 5.3, 4.955555555555556)","(61.0, 180.0, 77.14285714285714)"
