,Elviare,Enuff For Me,Lenny Rocket,Caddy,Chilena,Flying Carmen,Valentina Express
06-01-2023 12:35:18.005387,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:19.142860,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:20.212659,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:21.377266,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:22.458802,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:23.407909,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:24.600999,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:25.726110,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:26.851031,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:28.011517,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
