,Goldstar Spencer,Opawa Chrissy,Diamond Alex,Tiggerlong Panda,Iced Mocha,Goldstar Brooks,Ava Effort
05-01-2023 14:19:37.642265,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:38.949270,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:40.203109,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:41.482747,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:42.782966,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:44.118124,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:45.409741,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:46.753545,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:48.040392,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:49.211770,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:50.733108,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:52.043736,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:53.553299,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:54.867232,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:56.160946,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:57.419749,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:58.591206,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:19:59.815317,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:01.165293,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:02.360655,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:03.753937,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:05.163444,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:06.474547,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:07.839142,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:09.214086,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:10.596259,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:11.903890,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:13.202828,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:14.376152,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:15.539381,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:16.803171,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:18.010197,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:19.296480,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:20.517772,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:21.683509,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:22.941902,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:24.126430,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:25.485008,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:26.705870,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:27.950080,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:29.292946,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:30.416571,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:31.690192,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:33.158326,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:34.419730,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:35.702825,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:36.893352,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:38.166663,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:39.284733,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:40.434261,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.8, 3.284878048780488)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:41.610426,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:42.838991,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:44.023154,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:45.203273,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:46.319309,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:47.475840,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:48.670819,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:49.911253,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:51.183227,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.957209302325581)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
