,Flop Wedge,Arthur Chance,Canya Side Kick,Cyberpunk Wave,Foxy Foliaki,Jai Cool Guy,Always Dream,Bears Best
09-01-2023 15:48:24.981915,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:26.249355,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:27.470744,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:28.649400,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:29.796165,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:30.954397,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:32.090391,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:33.298086,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:34.558351,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:35.752332,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:36.872203,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:38.025964,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:39.262901,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:40.650180,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:41.897570,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:43.165768,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:44.497768,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.847058823529412)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:45.733366,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.847058823529412)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:46.984965,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.847058823529412)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:48.284285,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.847058823529412)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:49.574099,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:50.871404,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 14.4)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:52.140112,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 14.4)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:53.363638,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 14.4)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:54.525712,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 14.4)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:55.881281,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 14.4)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:57.286311,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 14.4)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:58.613198,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 17.142857142857142)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:48:59.948570,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:01.211181,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:02.552727,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.806451612903226)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:03.856592,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.806451612903226)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:05.161850,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:06.444519,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:07.724057,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:08.977340,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:10.229359,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:11.473318,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:12.688786,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:13.839797,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:15.090271,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:16.335365,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:17.615670,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:18.783805,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:19.976538,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:21.125877,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 17.142857142857142)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.3)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:22.375813,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.5, 16.847058823529412)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.8, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:23.602485,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.847058823529412)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:24.891596,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:26.124491,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:27.350623,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:28.508442,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:29.644962,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
