,Reality Mask,All Day Drive,Zambora Nut,Thai Gem,Vans Turbo,Eyes Dont Lie,Miss Immy Lee
0,"[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 32, 151726), 12.0, 28.0]"
1,"[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 33, 260039), 12.0, 27.0]"
2,"[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 34, 380808), 12.0, 27.0]"
3,"[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 35, 505051), 12.0, 27.0]"
4,"[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 36, 623540), 12.0, 27.0]"
5,"[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 37, 739220), 12.0, 27.0]"
6,"[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 38, 858780), 12.0, 27.0]"
7,"[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 39, 975576), 12.0, 27.0]"
8,"[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 41, 108358), 12.0, 27.0]"
9,"[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 8.0, 15.5]","[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 18.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 2.0, 2.98]","[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 18.0, 130.0]","[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 6.5, 10.5]","[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 2.9, 6.0]","[datetime.datetime(2022, 11, 28, 15, 8, 42, 229786), 12.0, 28.0]"
