,Emmas Portrait,Pyrenees Blazer,Cruising Loren,Philip Marlowe,Another Six,Ranger Ricksen,Jellybean Jam,Aston Zabbar
16-12-2022 13:15:02.373087,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:03.494319,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:04.518380,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:05.509783,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:06.542249,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:07.620180,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:08.630113,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:09.670460,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:10.745725,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:11.845823,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:12.931624,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:13.923661,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:14.975736,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:16.055989,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:17.130145,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:18.178720,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:19.252540,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.416666666666666)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:20.248964,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 14.25)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
