,Money Run,Mean Blake,Sly Dunbar,Pattaya Pete,Club Model,Royal Emgrand,Acting Foolish,Trip Hazard
11-01-2023 15:16:29.938300,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:31.292878,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:32.588161,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:33.865775,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:35.145144,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:36.339642,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:37.607102,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:38.876524,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:40.113129,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:41.493859,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:42.806110,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 21.0)"
11-01-2023 15:16:44.006591,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 22.0, 17.192307692307693)"
11-01-2023 15:16:45.398628,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:46.683643,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:47.906364,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:49.186993,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
