,Cosmic Nugget,Goddess Of War,Three Putt Par,Eyes On Gold,Mr Banner,Mothers Clone,Bad Habits,Paisan
04-01-2023 11:53:19.331605,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 25.73076923076923)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:20.373789,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:21.516841,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:22.638136,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:23.674292,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:24.672581,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:25.690733,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:26.694520,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:27.719754,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:28.727175,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:29.713101,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:30.693269,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:31.668262,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:32.715938,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:33.707247,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:34.689583,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
04-01-2023 11:53:35.688431,"(4.6, 8.2, 7.092307692307692)","(6.5, 12.0, 10.272)","(11.0, 23.0, 18.9375)","(3.3, 4.9, 4.342424242424243)","(3.8, 5.9, 5.213461538461539)","(15.0, 40.0, 29.166666666666664)","(12.0, 34.0, 26.142857142857142)","(6.5, 18.0, 13.2)"
