,Great Fantasy Nz,Winsome Ruby,Orlandos Gift,Meet Michaelangelo,Lovelorn,My Bad Habits,Scenic Sky,Muscletonian,Barhoon,Super Angus
12-01-2023 14:37:54.814401,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.8, 8.418181818181818)"
12-01-2023 14:37:56.338836,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.8, 8.418181818181818)"
12-01-2023 14:37:57.824066,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.8, 8.418181818181818)"
12-01-2023 14:37:59.214041,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.8, 8.418181818181818)"
12-01-2023 14:38:00.570253,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.8, 8.418181818181818)"
12-01-2023 14:38:01.913042,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.8, 8.8)"
12-01-2023 14:38:03.444436,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.6, 8.163636363636364)"
12-01-2023 14:38:04.896985,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.4, 8.488888888888887)"
12-01-2023 14:38:06.309249,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
12-01-2023 14:38:07.736159,"(10.0, 99999, 99990)","(21.0, 50.0, 25.142857142857142)","(4.2, 6.0, 5.5)","(26.0, 65.0, 37.0)","(5.0, 8.0, 6.2)","(8.5, 14.5, 11.9125)","(11.0, 21.0, 18.2)","(101.0, 210.0, 175.71428571428572)","(3.2, 4.9, 4.390000000000001)","(6.0, 9.2, 8.488888888888887)"
