,Bogie Bandit,Rutland Fred,Johns Call,Turbo Worm,Cold Justice,White Ticket,Jimmy Joe
15-12-2022 15:07:46.559788,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:47.689044,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:48.866398,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:49.923399,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:50.922291,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:51.970912,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:52.973041,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:53.968180,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:54.904803,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:55.987307,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:57.063750,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:58.170159,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:07:59.212324,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:00.218088,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:01.151587,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:02.193133,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:03.212756,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:04.275091,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:05.441264,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:06.560423,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:07.721787,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:08.813652,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:09.829776,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:10.853639,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:11.879241,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:12.985311,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:13.973282,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
15-12-2022 15:08:14.965388,"(13.0, 30.0, 22.0)","(6.0, 13.0, 7.763636363636364)","(6.0, 12.0, 7.68)","(1.5, 1.67, 1.6620967741935484)","(14.0, 36.0, 20.642857142857142)","(41.0, 310.0, 163.88235294117646)","(6.5, 11.5, 10.68)"
