,Heart Of The Arts,My Precious Mama,Caribbean Times,Sweet Suzi,Heart Of Sahara,Times Tickin,Torrevean Veloce,Mata Ole Le Afa,Goldngalaxy
0,"[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 7, 318879), 10.0, 17.5]"
1,"[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 8, 577451), 10.0, 17.5]"
2,"[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 9, 903291), 10.0, 17.5]"
3,"[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 11, 134338), 10.0, 17.5]"
4,"[datetime.datetime(2022, 11, 28, 18, 25, 12, 412041), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 12, 413038), 10.0, 17.5]"
5,"[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 13, 636581), 10.0, 17.5]"
6,"[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 14, 876965), 10.0, 17.5]"
7,"[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 16, 98633), 10.0, 17.5]"
8,"[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 17, 388308), 10.0, 17.5]"
9,"[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 81.0, 250.0]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 2.25, 3.25]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 81.0, 300.0]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 4.0, 5.7]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 26.0, 48.0]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 18, 25, 18, 603380), 10.0, 17.5]"
