,Master Copy,Portnoy,Winter Thorn,Oakfield Redgum,Isla,Allthehills,Thailand,My Naughty Boy,Every Effort
14-12-2022 13:04:43.851963,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.6, 9.434042553191489)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.89090909090909)","(41.0, 170.0, 160.76923076923077)","(41.0, 140.0, 132.85714285714286)"
14-12-2022 13:04:45.136079,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.6, 9.434042553191489)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 140.0, 123.80952380952381)"
14-12-2022 13:04:46.452026,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.6, 9.434042553191489)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:47.703915,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.6, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:49.033268,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:50.236694,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:51.419632,"(1.65, 1.77, 1.7574489795918367)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:52.614616,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:54.130878,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:55.577911,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:56.891016,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:58.256382,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.617094017094017)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:04:59.638491,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:05:01.028000,"(1.65, 1.77, 1.7661198738170347)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:05:02.332312,"(1.65, 1.77, 1.7653932584269663)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 123.80952380952381)"
14-12-2022 13:05:03.911209,"(1.65, 1.77, 1.7653932584269663)","(6.0, 11.5, 11.229166666666666)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 176.0)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 90.0)"
14-12-2022 13:05:05.431372,"(1.65, 1.77, 1.7653932584269663)","(6.0, 11.5, 11.458333333333334)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.621428571428572)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.867924528301886)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:06.800737,"(1.65, 1.77, 1.7653932584269663)","(6.0, 11.5, 11.458333333333334)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:08.069392,"(1.65, 1.77, 1.7642857142857142)","(6.0, 11.5, 11.458333333333334)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:09.323063,"(1.65, 1.77, 1.7642857142857142)","(6.0, 11.5, 11.375)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:10.613654,"(1.65, 1.77, 1.7642857142857142)","(6.0, 11.5, 11.375)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:11.786949,"(1.65, 1.77, 1.7642857142857142)","(6.0, 11.5, 11.375)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:12.936293,"(1.65, 1.77, 1.7642857142857142)","(6.0, 11.5, 11.375)","(17.0, 25.0, 23.254545454545454)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:14.206304,"(1.65, 1.78, 1.772409638554217)","(6.0, 11.5, 11.485915492957746)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:15.400160,"(1.65, 1.78, 1.772409638554217)","(6.0, 11.5, 11.485915492957746)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.875)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:16.698071,"(1.65, 1.78, 1.772409638554217)","(6.0, 11.5, 11.485915492957746)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.952830188679245)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:17.917741,"(1.65, 1.78, 1.772409638554217)","(6.0, 11.5, 11.485915492957746)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.952830188679245)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.873831775700934)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
14-12-2022 13:05:19.148823,"(1.65, 1.78, 1.772409638554217)","(6.0, 11.5, 11.485915492957746)","(17.0, 25.0, 23.11764705882353)","(7.0, 9.8, 9.618181818181817)","(10.0, 13.0, 12.952830188679245)","(81.0, 240.0, 179.04761904761904)","(7.5, 11.5, 10.843137254901961)","(41.0, 170.0, 160.76923076923077)","(41.0, 130.0, 100.0)"
