,Ebony Riot,Fast Milkman,Acclaimed,Barbara Ann,Town Rocker,Coach Beard,Mohinga Chase
07-12-2022 13:20:25.722440,"(3.5, 4.3, 4.141975308641975)","(2.1, 2.4, 2.3104)","(7.0, 11.5, 11.29245283018868)","(21.0, 48.0, 44.18181818181818)","(3.9, 5.1, 4.944262295081967)","(21.0, 65.0, 56.717948717948715)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:26.688677,"(3.5, 4.3, 4.141975308641975)","(2.1, 2.4, 2.3104)","(7.0, 11.5, 11.041666666666666)","(21.0, 46.0, 44.142857142857146)","(3.9, 5.1, 4.846666666666667)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:27.671746,"(3.5, 4.3, 4.141975308641975)","(2.1, 2.4, 2.3104)","(7.0, 11.5, 11.041666666666666)","(21.0, 46.0, 44.142857142857146)","(3.9, 5.1, 4.844444444444444)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:28.703715,"(3.5, 4.3, 4.141975308641975)","(2.1, 2.4, 2.3049999999999997)","(7.0, 11.5, 11.333333333333334)","(21.0, 46.0, 44.142857142857146)","(3.9, 5.1, 4.844444444444444)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:29.626949,"(3.5, 4.3, 4.211111111111111)","(2.1, 2.4, 2.3049999999999997)","(7.0, 11.5, 11.39622641509434)","(21.0, 46.0, 44.142857142857146)","(3.9, 5.1, 4.844444444444444)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:30.815695,"(3.5, 4.3, 4.216883116883117)","(2.1, 2.4, 2.3049999999999997)","(7.0, 11.5, 11.39622641509434)","(21.0, 46.0, 44.142857142857146)","(3.9, 5.1, 4.949999999999999)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:31.814633,"(3.5, 4.3, 4.220987654320988)","(2.1, 2.4, 2.28625)","(7.0, 12.5, 12.071428571428571)","(21.0, 46.0, 44.142857142857146)","(3.9, 5.1, 4.949999999999999)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:32.875995,"(3.5, 4.3, 4.212328767123288)","(2.1, 2.4, 2.287391304347826)","(7.0, 12.5, 12.071428571428571)","(21.0, 46.0, 44.148148148148145)","(3.9, 5.1, 4.9875)","(21.0, 65.0, 59.87301587301587)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:33.831909,"(3.5, 4.3, 4.212328767123288)","(2.1, 2.4, 2.3377777777777777)","(7.0, 12.5, 12.2)","(21.0, 46.0, 44.148148148148145)","(3.9, 5.0, 4.823529411764706)","(21.0, 65.0, 53.125)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:35.020560,"(3.5, 4.3, 4.217948717948718)","(2.1, 2.4, 2.3518749999999997)","(7.0, 12.5, 11.833333333333334)","(21.0, 46.0, 36.74074074074074)","(3.9, 4.9, 4.677777777777778)","(21.0, 65.0, 55.0)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:36.159746,"(3.5, 4.3, 4.217948717948718)","(2.1, 2.4, 2.3518749999999997)","(7.0, 12.5, 11.833333333333334)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.6647058823529415)","(21.0, 65.0, 55.0)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:37.168826,"(3.5, 4.3, 4.218987341772152)","(2.1, 2.4, 2.3518749999999997)","(7.0, 12.5, 11.833333333333334)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.641935483870968)","(21.0, 65.0, 55.0)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:38.167226,"(3.5, 4.3, 4.211111111111111)","(2.1, 2.4, 2.3552)","(7.0, 12.5, 12.158536585365853)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.641935483870968)","(21.0, 65.0, 55.4)","(31.0, 300.0, 200.0)"
07-12-2022 13:20:39.216676,"(3.5, 4.3, 4.216883116883117)","(2.0, 2.4, 2.3563636363636364)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.641935483870968)","(26.0, 65.0, 55.588235294117645)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:40.317647,"(3.5, 4.3, 4.216883116883117)","(2.0, 2.4, 2.3563636363636364)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.641935483870968)","(26.0, 65.0, 55.588235294117645)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:41.464568,"(3.5, 4.3, 4.216)","(2.0, 2.4, 2.3563636363636364)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.592307692307692)","(26.0, 65.0, 55.588235294117645)","(41.0, 300.0, 200.0)"
07-12-2022 13:20:42.486613,"(3.5, 4.3, 4.216)","(2.0, 2.42, 2.4136363636363636)","(7.5, 12.5, 12.270491803278688)","(21.0, 46.0, 38.432432432432435)","(3.9, 4.9, 4.592307692307692)","(26.0, 65.0, 55.588235294117645)","(41.0, 300.0, 200.0)"
