,Shes Our Cruze,Piazza Farnese,Urana Lot,Cry Wolf,Shanes Pick,Perfect Pacific,Tarantula
07-12-2022 19:55:29.122749,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 19.5)"
07-12-2022 19:55:30.302805,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 21.0, 18.5)"
07-12-2022 19:55:31.433348,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.6125)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.5)"
07-12-2022 19:55:32.514008,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:33.516562,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:34.594529,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:35.705638,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:36.937670,"(21.0, 250.0, 117.39999999999999)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:38.008177,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
07-12-2022 19:55:39.030836,"(21.0, 250.0, 159.5909090909091)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 7.38)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 18.75)"
