,Because The Night,Cyclone Gus,Hangonhangon,Maxs Source,Hot Or Not,Kiss The Lass,Leery,Mcphersons Image,The Real Saint,Miss De Boom,King Of Wanchai,Beyondtastic
05-01-2023 12:54:49.261433,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:50.838930,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:52.197892,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:53.682601,"(3.0, 3.45, 3.25625)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 145.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:55.190459,"(3.0, 3.45, 3.330769230769231)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 145.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:56.681182,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 145.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:58.090828,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:54:59.489280,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:55:00.818473,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:55:02.142460,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.25)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.92857142857143)","(26.0, 55.0, 49.4)","(81.0, 220.0, 190.0)","(31.0, 140.0, 89.0)","(19.0, 40.0, 35.5)","(7.0, 8.4, 7.3500000000000005)","(61.0, 210.0, 197.5)"
05-01-2023 12:55:03.655598,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:05.076726,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:06.412802,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:07.814722,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:09.181347,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:10.702420,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:12.388195,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:14.048763,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:15.675929,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:17.341216,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 130.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:18.867179,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 150.83333333333334)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.333333333333334)","(26.0, 55.0, 47.0)","(81.0, 220.0, 145.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:20.166466,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 150.83333333333334)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 17.0)","(26.0, 55.0, 47.0)","(81.0, 220.0, 145.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:21.521559,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 150.83333333333334)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:23.022300,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 150.83333333333334)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:24.881619,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 150.83333333333334)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:26.467929,"(3.0, 3.45, 3.3372727272727274)","(1.95, 2.26, 2.252)","(51.0, 170.0, 150.83333333333334)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 47.0)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:28.109370,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.0)","(26.0, 55.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:29.516996,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:30.918160,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 106.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:32.307633,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:33.721502,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:35.096891,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:36.438144,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:37.795938,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:39.472006,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:40.856736,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:42.373006,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 190.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:44.009412,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 123.33333333333334)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:45.549677,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:47.178828,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:48.713982,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:50.272780,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:51.778489,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:53.501028,"(3.0, 3.45, 3.3046875)","(1.95, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(81.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:54.944927,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:56.456624,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:58.053343,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:55:59.741055,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:01.315719,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:03.052306,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:04.993954,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:06.719204,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 115.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.0)","(26.0, 50.0, 38.5)","(71.0, 220.0, 145.0)","(31.0, 140.0, 91.0)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:08.291094,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 18.5, 14.666666666666666)","(26.0, 50.0, 43.8)","(71.0, 220.0, 145.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:09.809138,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 145.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:11.471094,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 145.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:13.067782,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:14.728353,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:16.359979,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:17.954426,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:19.583250,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:21.161016,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
05-01-2023 12:56:22.661430,"(3.0, 3.45, 3.3046875)","(2.0, 2.26, 2.2479999999999998)","(51.0, 170.0, 110.0)","(41.0, 180.0, 113.0)","(41.0, 120.0, 83.0)","(10.0, 19.0, 14.666666666666666)","(26.0, 55.0, 43.8)","(71.0, 220.0, 190.0)","(31.0, 140.0, 107.33333333333333)","(19.0, 40.0, 35.8)","(7.0, 8.2, 7.699999999999999)","(61.0, 210.0, 137.5)"
