,Snowy Rose,Udella Bale,Never Sweet,Julipa Bale,Zipping Newman
09-01-2023 15:27:21.551893,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:22.545438,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:23.543754,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:24.544317,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:25.554969,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:26.507390,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:27.466004,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:28.488843,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:29.468146,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:30.480963,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:31.425576,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:32.424853,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:33.450404,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:34.378056,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:35.341851,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:36.295777,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:37.239672,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:38.167079,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:39.169606,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:40.072821,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
09-01-2023 15:27:41.125768,"(5.0, 9.8, 6.533333333333334)","(5.5, 12.0, 8.1)","(3.6, 5.5, 4.503846153846154)","(2.8, 4.2, 4.136363636363637)","(3.9, 6.6, 4.703448275862069)"
