,Filly Thirteen,Back To Betoota,Gwyneth P Nz,Reds Star Deal,Hurrikane King,Swooping Eagle,Blue Bloodz,Moonan Nina,Nineteenthirtyfour,Sarasun
06-01-2023 12:18:20.357828,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 123.33333333333334)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:21.871545,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 123.33333333333334)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:23.516634,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:25.216241,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:26.823506,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:28.704862,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:30.500335,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:32.287398,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:33.899792,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:35.459480,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:36.999835,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:38.651290,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:40.422819,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:42.051284,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
06-01-2023 12:18:44.307507,"(9.0, 19.5, 17.375)","(2.45, 3.4, 3.0846153846153843)","(1.9, 99999, 99990)","(18.0, 30.0, 20.0)","(81.0, 220.0, 174.28571428571428)","(21.0, 46.0, 36.0)","(31.0, 120.0, 76.0)","(71.0, 220.0, 183.75)","(14.0, 25.0, 18.75)","(20.0, 36.0, 25.0)"
