,Why Not Pearl,Aston Floyd,Mahogany Flame,Dark Label,Ultra Bale,Silver Taquisha,Sunny Love,Pretty With It
10-01-2023 16:01:24.018684,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:25.350538,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:26.654017,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:27.792294,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:29.022147,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:30.360100,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:31.650947,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:32.851644,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:34.041481,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:35.158547,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:36.331465,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:37.545399,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:38.759921,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:40.005989,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 555.8333333333334)","(2.45, 4.1, 3.2199999999999998)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 39.25)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:41.190296,"(8.5, 17.0, 14.95)","(5.0, 7.6, 7.0)","(91.0, 650.0, 550.0)","(2.45, 4.1, 3.4299999999999997)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 35.57142857142857)"
10-01-2023 16:01:42.411216,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:43.596600,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:44.723666,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:45.945593,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:47.165155,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:48.425814,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:49.689453,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:50.867453,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:52.035429,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:53.258193,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:54.394995,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:55.518028,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:56.902089,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:58.291602,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:01:59.442903,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:00.628812,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:01.859594,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:03.095956,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:04.269860,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:05.512904,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:06.799341,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:08.209635,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
10-01-2023 16:02:09.898203,"(8.5, 17.0, 12.9)","(5.0, 7.6, 7.0)","(91.0, 650.0, 552.5)","(2.45, 4.1, 3.233333333333333)","(4.8, 8.0, 6.68)","(3.7, 6.6, 4.264583333333333)","(20.0, 60.0, 36.94444444444444)","(16.0, 44.0, 29.25)"
