,Barry Bowler,Big Time Audi,Goldstar Phoenix,Big Time Girly,Phantom Pixie,Shaun The Chaser,Elite Bubble
11-01-2023 13:09:51.601254,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:52.539634,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:53.523027,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:54.547534,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:55.525914,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:56.451240,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:57.387152,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 5.319999999999999)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:58.564302,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 60.30769230769231)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.3999999999999995)","(26.0, 290.0, 170.0)"
11-01-2023 13:09:59.503415,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
11-01-2023 13:10:00.531607,"(2.5, 3.6, 3.501666666666667)","(3.1, 7.2, 5.773913043478261)","(17.0, 160.0, 57.142857142857146)","(5.5, 7.8, 6.425)","(8.0, 17.0, 11.120000000000001)","(4.8, 8.2, 6.0)","(26.0, 290.0, 170.0)"
