,Good Chat Sam,Kouta Marjen,Hearts Denied,Echo Chamber,Sun Ace,Golden Coast
09-01-2023 14:28:48.748720,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.93125)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:49.835435,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.93125)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:50.891681,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.93125)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:51.947624,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.93125)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:52.965706,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:53.911502,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:54.937564,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:56.052040,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:57.156798,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:58.148119,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:28:59.075568,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:00.094167,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:01.189951,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
09-01-2023 14:29:02.239929,"(13.0, 27.0, 22.294117647058822)","(1.9, 2.7, 1.9127999999999998)","(6.0, 12.5, 6.5)","(19.0, 65.0, 41.5)","(3.0, 5.2, 3.4222222222222225)","(8.0, 19.5, 16.84090909090909)"
