,Lincoln River,Midfrew Lucre,Ohoka Creed,Malaka Miss,Neptune,Tugawar,Acushla Machree
16-12-2022 15:41:43.104406,"(2.8, 4.2, 3.825)","(2.9, 5.8, 3.8115384615384613)","(4.0, 6.0, 5.5)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.533333333333334)","(15.0, 34.0, 22.285714285714285)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:44.141051,"(2.8, 4.1, 3.8285714285714283)","(2.9, 3.95, 3.8115384615384613)","(4.0, 6.0, 5.5)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.533333333333334)","(15.0, 60.0, 22.285714285714285)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:45.208768,"(2.8, 3.95, 3.7214285714285715)","(2.9, 4.4, 3.8666666666666667)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.581818181818182)","(15.0, 60.0, 30.666666666666664)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:46.229947,"(2.8, 3.95, 3.6500000000000004)","(2.9, 4.4, 4.22608695652174)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.581818181818182)","(15.0, 34.0, 18.571428571428573)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:47.268301,"(2.8, 3.95, 3.6500000000000004)","(2.9, 4.4, 4.177777777777778)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.581818181818182)","(15.0, 34.0, 18.571428571428573)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:48.342654,"(2.8, 3.95, 3.6500000000000004)","(2.9, 4.4, 4.177777777777778)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.533333333333334)","(15.0, 34.0, 18.571428571428573)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:49.329546,"(2.8, 3.95, 3.6500000000000004)","(2.9, 4.4, 4.177777777777778)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.581818181818182)","(15.0, 34.0, 18.571428571428573)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:50.285734,"(2.8, 3.95, 3.6500000000000004)","(2.9, 4.4, 4.177777777777778)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 8.4, 7.581818181818182)","(15.0, 34.0, 18.571428571428573)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:51.326741,"(2.8, 3.95, 3.6500000000000004)","(2.9, 4.1, 4.014285714285714)","(4.0, 6.0, 5.3)","(11.0, 21.0, 13.285714285714286)","(6.0, 5.6, 5.525735294117647)","(15.0, 34.0, 22.0)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:52.320465,"(2.8, 4.2, 3.7058823529411766)","(2.9, 4.1, 3.9666666666666663)","(4.0, 6.0, 5.666666666666667)","(11.0, 21.0, 15.0)","(6.0, 5.6, 5.525735294117647)","(15.0, 34.0, 22.0)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:53.254127,"(2.8, 4.2, 3.7058823529411766)","(2.9, 4.1, 3.9666666666666663)","(4.0, 6.0, 5.666666666666667)","(11.0, 21.0, 15.0)","(6.0, 5.6, 5.545454545454545)","(15.0, 34.0, 22.0)","(18.0, 120.0, 99.6)"
16-12-2022 15:41:54.185585,"(2.8, 4.2, 3.5294117647058822)","(2.9, 4.1, 3.9666666666666663)","(4.0, 6.0, 5.6)","(11.0, 21.0, 19.454545454545453)","(6.0, 5.6, 5.545454545454545)","(15.0, 34.0, 30.11111111111111)","(18.0, 120.0, 107.3125)"
16-12-2022 15:41:55.152278,"(2.8, 4.2, 3.657142857142857)","(2.9, 4.1, 3.8428571428571425)","(4.0, 6.0, 5.733333333333333)","(11.0, 21.0, 19.454545454545453)","(6.0, 5.6, 5.545454545454545)","(15.0, 34.0, 30.11111111111111)","(18.0, 120.0, 94.75)"
16-12-2022 15:41:56.097083,"(2.8, 4.2, 3.4285714285714284)","(2.9, 4.4, 3.8666666666666667)","(4.0, 6.0, 5.6)","(11.0, 21.0, 15.0)","(6.0, 5.6, 5.545454545454545)","(15.0, 65.0, 24.166666666666664)","(18.0, 120.0, 86.5)"
16-12-2022 15:41:57.025051,"(2.8, 4.2, 3.99622641509434)","(2.9, 4.4, 4.0)","(4.0, 6.0, 5.917241379310345)","(11.0, 21.0, 15.0)","(6.0, 5.6, 5.545454545454545)","(15.0, 65.0, 32.33333333333333)","(18.0, 120.0, 108.83333333333333)"
16-12-2022 15:41:58.014362,"(2.8, 4.2, 3.99622641509434)","(2.9, 4.4, 3.990909090909091)","(4.0, 6.0, 5.917241379310345)","(11.0, 21.0, 15.0)","(6.0, 5.6, 5.545454545454545)","(15.0, 65.0, 54.22222222222223)","(18.0, 120.0, 86.5)"
16-12-2022 15:41:59.040948,"(2.8, 4.2, 3.99622641509434)","(2.9, 4.4, 3.990909090909091)","(4.0, 6.0, 5.6)","(11.0, 21.0, 19.454545454545453)","(6.0, 5.6, 5.545454545454545)","(15.0, 65.0, 54.22222222222223)","(18.0, 120.0, 86.5)"
16-12-2022 15:42:00.100184,"(2.8, 4.2, 3.99622641509434)","(2.9, 4.1, 3.96875)","(4.0, 6.0, 5.6)","(11.0, 21.0, 15.333333333333334)","(6.0, 5.6, 5.733333333333333)","(15.0, 65.0, 32.33333333333333)","(18.0, 120.0, 108.83333333333333)"
16-12-2022 15:42:01.057592,"(2.8, 4.2, 3.99622641509434)","(2.9, 4.2, 4.0125)","(4.0, 6.0, 5.6)","(11.0, 21.0, 15.0)","(6.0, 5.8, 5.733333333333333)","(15.0, 65.0, 32.33333333333333)","(18.0, 120.0, 108.83333333333333)"
16-12-2022 15:42:02.034070,"(2.8, 4.2, 3.4107142857142856)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 15.666666666666666)","(6.0, 7.2, 6.8522727272727275)","(15.0, 65.0, 33.0)","(18.0, 120.0, 110.86363636363637)"
16-12-2022 15:42:03.050300,"(2.8, 4.2, 3.4107142857142856)","(2.9, 4.2, 4.1049999999999995)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 7.0, 5.8)","(15.0, 65.0, 23.857142857142858)","(18.0, 120.0, 94.875)"
16-12-2022 15:42:04.020955,"(2.8, 4.2, 3.4107142857142856)","(2.9, 4.2, 4.0125)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.6, 6.0)","(15.0, 60.0, 31.333333333333336)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:04.987008,"(2.8, 4.2, 3.4107142857142856)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.6, 5.957142857142857)","(15.0, 60.0, 23.142857142857142)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:06.026734,"(2.8, 4.1, 3.4076923076923076)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.6, 5.957142857142857)","(15.0, 60.0, 23.142857142857142)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:07.007743,"(2.8, 4.1, 3.3941176470588235)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.6, 5.957142857142857)","(15.0, 60.0, 23.142857142857142)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:07.989935,"(2.8, 4.1, 3.44375)","(2.9, 4.2, 4.114285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.6, 5.957142857142857)","(15.0, 60.0, 23.142857142857142)","(18.0, 120.0, 69.75)"
16-12-2022 15:42:08.957847,"(2.8, 4.0, 3.390625)","(2.9, 4.4, 4.014285714285714)","(4.0, 6.0, 5.542857142857143)","(11.0, 21.0, 14.142857142857142)","(6.0, 6.6, 6.050000000000001)","(15.0, 60.0, 29.666666666666664)","(18.0, 120.0, 69.75)"
